,Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
0,Atalanta,3,38.0,48,3,1,5,2,413,25,-47,-12,161,425,379,863,237,289,321.0,307,573,447,454,32,70,42,111,156.0
1,Bologna,2,38.0,49,7,1,6,3,483,25,23,6,151,380,397,927,211,305,356.0,306,317,317,502,29,58,24,63,
2,Cremonese,3,38.0,69,5,3,11,1,681,29,1,0,214,704,304,1039,181,507,357.0,324,546,458,527,35,66,39,103,86.0
3,Empoli,3,38.0,49,4,0,10,1,486,28,6,1,163,530,308,1144,191,365,185.0,363,309,304,741,39,53,26,68,
4,Fiorentina,4,38.0,43,7,0,4,2,392,26,-18,-5,198,499,397,1183,166,326,324.0,245,461,406,336,14,42,60,158,93.0
5,Hellas Verona,2,38.0,59,1,1,4,3,503,27,-57,-15,366,805,455,919,124,638,573.0,304,720,519,515,27,52,56,147,120.0
6,Inter,3,38.0,42,3,0,6,3,348,23,-42,-11,151,364,415,1336,189,227,335.0,290,210,281,439,17,39,20,53,
7,Juventus,2,38.0,33,4,0,6,0,371,24,41,11,160,377,424,825,182,347,308.0,312,292,290,543,15,28,32,84,157.0
8,Lazio,2,38.0,30,1,0,5,1,314,25,24,6,160,376,426,1014,167,306,,309,214,237,493,21,43,55,145,190.0
9,Lecce,1,38.0,46,5,2,6,3,432,24,2,1,194,721,269,869,143,571,421.0,289,779,528,534,23,43,42,111,141.0
10,Milan,3,38.0,43,4,3,6,1,372,26,-48,-13,170,388,438,1124,194,282,329.0,246,289,289,416,24,58,45,118,144.0
11,Monza,2,38.0,52,3,1,4,1,503,28,-7,-2,168,480,350,1230,240,315,226.0,313,297,303,548,14,26,34,89,257.0
12,Napoli,2,38.0,28,1,0,2,0,280,24,0,0,71,181,392,858,145,153,296.0,232,216,274,391,13,33,43,113,188.0
13,Roma,2,38.0,38,2,1,4,1,305,24,-65,-17,151,372,406,702,134,389,414.0,259,382,362,444,22,50,29,76,121.0
14,Salernitana,3,38.0,62,7,1,6,0,671,29,51,13,218,719,303,1064,132,477,379.0,360,586,447,540,28,52,23,61,60.0
15,Sampdoria,3,38.0,71,8,0,10,2,582,23,-108,-28,243,664,366,1032,164,450,356.0,349,573,431,571,34,60,26,68,105.0
16,Sassuolo,3,38.0,61,4,0,5,2,446,32,-144,-38,185,466,397,1176,199,316,297.0,376,250,277,509,30,59,28,74,90.0
17,Spezia,4,38.0,62,5,1,8,3,521,25,-69,-18,185,585,316,1019,177,430,390.0,339,434,366,566,18,32,41,108,147.0
18,Torino,1,38.0,41,5,0,6,0,358,23,-52,-14,285,939,304,1495,185,454,397.0,297,879,678,469,36,77,70,184,162.0
19,Udinese,1,38.0,48,6,2,3,2,487,31,27,7,144,380,379,858,142,324,320.0,316,323,329,547,13,24,21,55,122.0
