,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Atalanta,27,38.0,15462,19507,793,267971,97492,7245,8234,880,6234,7350,848,1525,2778,549,42,42.7,40.8,-0.7,405,1184,385,89,1637
1,Bologna,27,38.0,16763,20552,816,290293,103110,7901,8808,897,6726,7738,869,1675,2874,583,41,31.5,26.0,9.5,371,1120,246,67,1366
2,Cremonese,33,38.0,10872,15041,723,200114,82419,4733,5616,843,4640,5790,801,1236,2782,444,18,24.3,21.9,-6.3,325,936,275,107,1107
3,Empoli,32,38.0,13199,16862,783,234132,88608,5889,6670,883,5521,6484,851,1395,2669,523,20,26.8,24.1,-6.8,322,776,245,76,1114
4,Fiorentina,30,38.0,15373,19236,799,294347,99945,6120,6942,882,6799,7859,865,2111,3485,606,37,40.2,36.7,-3.2,462,1219,353,121,1627
5,Hellas Verona,36,38.0,9481,13807,687,186844,85475,3784,4825,784,4041,5180,780,1394,2872,485,22,28.1,23.0,-6.1,304,861,232,88,1063
6,Inter,25,38.0,17693,21281,831,320024,109417,7531,8348,902,7877,8900,885,1858,3042,611,50,51.8,46.8,-1.8,479,1272,390,134,1624
7,Juventus,29,38.0,15226,18690,815,285025,99282,6319,7141,885,6719,7633,880,1910,3085,619,41,39.8,29.8,1.2,404,1163,295,90,1394
8,Lazio,24,38.0,18135,21629,838,293491,106673,9434,10386,908,6408,7337,873,1635,2620,624,37,34.3,30.0,2.7,325,1214,283,44,1381
9,Lecce,29,38.0,10083,14358,702,188701,76019,4285,5217,821,4134,5229,791,1351,3015,448,21,25.3,20.6,-4.3,313,965,218,79,1232
10,Milan,30,38.0,15948,19734,808,289152,100822,6781,7765,873,6974,7961,876,1800,2995,601,49,46.0,39.2,3.0,416,1165,359,88,1584
11,Monza,31,38.0,17198,20724,830,308969,105210,7443,8250,902,7577,8569,884,1777,2898,613,31,33.8,28.7,-2.8,312,1154,278,71,1362
12,Napoli,27,38.0,21086,24473,862,349837,113047,10412,11275,923,8149,9116,894,1839,2748,669,57,46.8,42.9,10.2,490,1638,411,89,1804
13,Roma,30,38.0,14171,17814,795,257681,88761,6089,6899,883,6074,7077,858,1659,2915,569,33,38.9,33.4,-5.9,368,960,261,56,1217
14,Salernitana,30,38.0,12667,16508,767,223947,85787,5739,6539,878,5160,6153,839,1342,2755,487,34,26.9,20.8,7.1,280,845,209,70,1089
15,Sampdoria,40,38.0,12606,16575,761,231539,88820,5369,6223,863,5427,6538,830,1489,2830,526,18,24.4,25.1,-6.4,272,886,241,74,1126
16,Sassuolo,31,38.0,14805,18306,809,269825,99100,6480,7323,885,6109,7036,868,1835,2980,616,30,36.1,31.5,-6.1,371,1092,328,82,1565
17,Spezia,34,38.0,12399,16501,751,215537,84262,5772,6701,861,4973,6020,826,1235,2696,458,18,29.3,26.8,-11.3,289,928,267,84,1163
18,Torino,28,38.0,15376,19336,795,275969,93628,6788,7659,886,6681,7680,870,1502,2948,509,34,35.0,30.1,-1.0,375,1159,274,89,1328
19,Udinese,30,38.0,13391,16790,798,246847,93352,5689,6485,877,5719,6627,863,1624,2751,590,41,37.8,33.3,3.2,384,1009,295,70,1354
