,Equipe,# J,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PB,PT,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,27,38.0,64,506,168,332,1332,442,11,35,169,13,6,8,57.7,51.3,10,6.3,6.7
1,Bologna,27,38.0,52,479,150,313,1261,395,10,31,196,18,6,6,43.8,39.4,8,8.2,6.6
2,Cremonese,33,38.0,35,458,122,266,1205,321,7,25,185,15,5,7,38.7,33.2,7,-3.7,-3.2
3,Empoli,32,38.0,35,447,129,289,1176,339,7,26,183,19,2,2,38.8,37.2,9,-3.8,-4.2
4,Fiorentina,30,38.0,51,597,171,286,1571,450,8,27,176,23,4,6,55.0,50.8,9,-4.0,-3.8
5,Hellas Verona,36,38.0,29,415,116,280,1092,305,7,24,186,13,1,1,35.8,35.1,9,-6.8,-7.1
6,Inter,25,38.0,68,625,197,315,1645,518,10,32,169,21,4,5,68.0,64.5,11,0.0,-0.5
7,Juventus,29,38.0,56,529,171,323,1392,450,10,31,173,19,3,6,55.3,50.4,10,0.7,2.6
8,Lazio,24,38.0,59,430,161,374,1132,424,12,33,178,14,6,8,51.1,44.9,11,7.9,8.1
9,Lecce,29,38.0,31,412,106,257,1084,279,7,25,188,14,4,6,36.1,31.4,8,-5.1,-4.4
10,Milan,30,38.0,61,546,178,326,1437,468,10,31,177,26,5,5,58.8,55.1,10,2.2,0.9
11,Monza,31,38.0,46,406,139,342,1068,366,10,29,179,13,5,6,45.9,41.2,10,0.1,-0.2
12,Napoli,27,38.0,75,605,212,350,1592,558,11,32,171,18,8,10,64.7,56.8,10,10.3,10.2
13,Roma,30,38.0,50,488,155,318,1284,408,9,28,170,15,7,10,57.4,49.9,10,-7.4,-6.9
14,Salernitana,30,38.0,46,381,115,302,1003,303,12,38,189,14,2,2,36.7,35.2,9,9.3,8.8
15,Sampdoria,40,38.0,23,376,114,303,989,300,6,19,178,16,1,2,34.1,32.5,9,-11.1,-10.5
16,Sassuolo,31,38.0,46,477,161,338,1255,424,8,23,180,20,9,10,51.6,43.9,9,-5.6,-6.9
17,Spezia,34,38.0,29,419,120,286,1103,316,6,21,183,19,4,4,41.5,38.5,9,-12.5,-13.5
18,Torino,28,38.0,41,444,146,329,1168,384,9,27,167,6,2,2,41.8,40.2,9,-0.8,-1.2
19,Udinese,30,38.0,46,503,145,288,1324,382,9,31,185,23,1,2,46.9,45.4,9,-0.9,-0.4
