,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,65,4,1,5,1,63.4,0.29,-0.6,-0.01
1,43,3,1,1,3,37.2,0.29,-2.8,-0.07
2,33,4,1,5,0,36.3,0.26,3.3,0.09
3,20,3,0,2,3,25.1,0.22,8.1,0.21
4,41,3,1,7,1,44.0,0.29,4.0,0.1
5,53,9,1,7,0,53.4,0.22,0.4,0.01
6,53,5,1,10,1,42.9,0.27,-9.1,-0.24
7,67,7,0,6,2,71.9,0.31,6.9,0.18
8,69,5,1,9,2,54.5,0.27,-12.5,-0.33
9,45,4,0,7,2,45.5,0.23,2.5,0.07
10,55,6,2,5,0,62.0,0.33,7.0,0.18
11,43,6,0,3,0,41.5,0.24,-1.5,-0.04
12,42,1,1,3,2,39.1,0.26,-0.9,-0.02
13,53,4,0,11,4,45.9,0.3,-3.1,-0.08
14,36,4,0,2,1,34.2,0.22,-0.8,-0.02
15,35,1,1,3,2,32.8,0.24,-0.2,0.0
16,54,2,1,5,3,49.5,0.3,-1.5,-0.04
17,45,2,0,7,2,42.9,0.28,-0.1,0.0
18,63,6,1,0,1,62.6,0.28,0.6,0.02
19,40,4,0,4,1,43.7,0.27,4.7,0.12
