,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Almería,758,19.95,533,73,51,51,33,17,76,2.0,51,7,8,7,3,0
1,Athletic Club,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1
2,Atlético Madrid,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2
3,Barcelona,1050,27.63,824,65,62,58,30,11,125,3.29,106,2,6,11,0,0
4,Betis,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0
5,Cádiz,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0
6,Celta Vigo,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2
7,Elche,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2
8,Espanyol,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3
9,Getafe,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1
10,Girona,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3
11,Mallorca,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2
12,Osasuna,779,20.5,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0
13,Rayo Vallecano,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1
14,Real Madrid,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1
15,Real Sociedad,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3
16,Sevilla,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0
17,Valencia,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1
18,Valladolid,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0
19,Villarreal,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0
