,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Almería,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308
1,Athletic Club,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386
2,Atlético Madrid,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345
3,Barcelona,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340
4,Betis,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376
5,Cádiz,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297
6,Celta Vigo,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300
7,Elche,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390
8,Espanyol,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298
9,Getafe,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333
10,Girona,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319
11,Mallorca,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306
12,Osasuna,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345
13,Rayo Vallecano,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365
14,Real Madrid,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353
15,Real Sociedad,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324
16,Sevilla,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307
17,Valencia,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345
18,Valladolid,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365
19,Villarreal,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347
