,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Arsenal,2,29,0.8,83,54,67.5,28,5,5,18,47.4
1,Aston Villa,2,61,1.6,173,115,65.3,20,8,10,8,21.1
2,Bournemouth,3,67,1.8,194,127,68.6,13,9,16,9,23.7
3,Brentford,2,65,1.7,184,119,65.8,10,9,19,7,18.4
4,Brighton,2,62,1.6,165,105,66.1,12,12,14,6,15.8
5,Burnley,2,78,2.0,244,168,70.5,5,9,24,2,5.3
6,Chelsea,2,63,1.7,186,125,67.7,18,9,11,8,21.1
7,Crystal Palace,3,58,1.5,154,98,64.3,13,10,15,10,26.3
8,Everton,1,51,1.3,165,117,73.9,13,9,16,13,34.2
9,Fulham,1,61,1.6,190,133,72.1,13,8,17,10,26.3
10,Liverpool,2,41,1.1,147,108,72.8,24,10,4,10,26.3
11,Luton Town,2,85,2.2,223,142,63.7,6,8,24,2,5.3
12,Manchester City,2,34,0.9,109,76,71.6,28,7,3,13,34.2
13,Manchester Utd,1,58,1.5,203,146,74.9,18,6,14,9,23.7
14,Newcastle Utd,3,62,1.6,195,133,70.3,18,6,14,10,26.3
15,Nott'ham Forest,3,67,1.8,163,98,61.3,9,9,20,4,10.5
16,Sheffield Utd,2,104,2.7,263,166,62.4,3,7,28,1,2.6
17,Tottenham,1,61,1.6,167,109,67.7,20,6,12,7,18.4
18,West Ham,2,74,2.0,241,169,72.6,14,10,14,5,13.2
19,Wolves,2,65,1.7,203,139,71.9,13,7,18,5,13.2
