,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Arsenal,22558,20941,1530,443,104,65,670,560,265,217,1,0,19094,87,319
1,Aston Villa,19363,17499,1817,628,80,95,651,613,231,149,15,2,16133,47,343
2,Bournemouth,15920,14065,1799,419,48,91,709,774,235,192,9,4,11899,56,361
3,Brentford,16818,14996,1752,464,70,113,706,683,184,79,51,10,12551,70,357
4,Brighton,25029,23334,1611,511,62,76,671,541,206,86,73,5,21810,84,327
5,Burnley,17959,16189,1694,445,49,77,550,670,180,67,58,9,13937,76,344
6,Chelsea,23364,21587,1692,496,116,101,558,611,202,78,55,4,20039,85,348
7,Crystal Palace,16754,14948,1734,484,52,97,583,721,178,81,57,6,12915,72,366
8,Everton,15514,13704,1721,409,45,78,752,768,181,140,26,3,11349,89,347
9,Fulham,20237,18414,1772,464,58,118,736,696,212,70,98,1,16311,51,421
10,Liverpool,24379,22490,1789,440,102,145,817,755,287,86,171,2,20376,100,371
11,Luton Town,15099,13156,1876,498,22,111,841,703,203,93,101,5,11048,67,413
12,Manchester City,27758,26136,1580,460,85,133,700,604,286,114,66,7,24616,42,383
13,Manchester Utd,19538,17784,1663,371,73,99,594,643,224,70,86,10,15785,91,372
14,Newcastle Utd,19852,18026,1767,515,85,133,648,679,192,75,60,9,16117,59,364
15,Nott'ham Forest,15673,13969,1627,409,53,83,595,661,148,80,55,0,11873,77,315
16,Sheffield Utd,13498,11753,1681,380,25,52,428,666,141,70,47,6,9521,64,321
17,Tottenham,24197,22167,1947,636,91,59,710,723,234,93,70,1,20649,83,480
18,West Ham,16373,14568,1734,429,60,158,661,721,165,93,61,0,12568,71,411
19,Wolves,19175,17409,1688,439,49,125,578,684,156,75,41,15,15484,78,333
