,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Augsburg,726,21.4,503,78,35,58,39,13,78,2.3,58,6,2,8,4,0
1,Bayern Munich,1156,34.0,875,86,69,72,38,16,166,4.9,126,9,11,11,6,3
2,Bochum,884,26.0,561,134,38,81,55,15,72,2.1,43,8,5,9,6,1
3,Darmstadt 98,723,21.3,522,68,36,48,32,17,50,1.5,38,3,1,4,3,1
4,Dortmund,909,26.7,668,68,56,62,42,13,121,3.6,84,8,7,8,10,4
5,Eint Frankfurt,688,20.2,493,63,44,48,31,9,81,2.4,63,2,3,9,3,1
6,Freiburg,714,21.0,538,55,25,51,36,9,77,2.3,51,5,1,10,8,2
7,Gladbach,806,23.7,572,85,47,59,29,14,98,2.9,71,9,4,8,4,2
8,Heidenheim,666,19.6,442,95,30,54,34,11,81,2.4,57,9,4,5,5,1
9,Hoffenheim,813,23.9,608,68,38,48,38,13,110,3.2,78,5,11,8,6,2
10,Köln,780,22.9,551,76,36,59,47,11,45,1.3,22,3,3,10,7,0
11,Leverkusen,1117,32.8,854,74,77,54,47,11,159,4.7,115,12,13,9,10,0
12,Mainz 05,816,24.0,531,104,48,60,61,12,65,1.9,46,7,4,5,2,1
13,RB Leipzig,934,27.5,691,70,61,57,43,12,126,3.7,97,6,8,9,6,0
14,Stuttgart,960,28.2,738,52,65,60,27,18,138,4.1,108,2,14,9,4,1
15,Union Berlin,702,20.6,484,87,36,51,29,15,60,1.8,38,6,7,4,4,1
16,Werder Bremen,721,21.2,550,56,33,36,36,10,82,2.4,61,5,3,5,8,0
17,Wolfsburg,724,21.3,544,56,32,50,38,4,73,2.2,58,1,3,8,3,0
