,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Augsburg,49,429,123,28.7,12.6,3.6,0.1,0.4,17.5,12,5,7,46.1,40.7,0.1,2.9,3.3
1,Bayern Munich,93,633,229,36.2,18.6,6.7,0.1,0.4,15.7,13,5,5,85.2,81.3,0.1,7.8,6.7
2,Bochum,41,524,145,27.7,15.4,4.3,0.1,0.3,18.2,18,4,4,44.5,41.4,0.1,-3.5,-4.4
3,Darmstadt 98,28,404,110,27.2,11.9,3.2,0.1,0.2,19.1,12,3,3,32.3,30.0,0.1,-4.3,-5.0
4,Dortmund,68,506,184,36.4,14.9,5.4,0.1,0.3,16.9,17,6,6,63.5,58.8,0.1,4.5,3.2
5,Eint Frankfurt,48,402,139,34.6,11.8,4.1,0.1,0.3,16.4,11,2,3,46.2,44.4,0.1,1.8,1.6
6,Freiburg,43,392,131,33.4,11.5,3.8,0.1,0.3,16.0,7,7,9,49.4,42.4,0.1,-6.4,-6.4
7,Gladbach,55,451,144,31.9,13.3,4.2,0.1,0.4,17.1,4,5,6,46.5,41.8,0.1,8.5,8.2
8,Heidenheim,46,392,114,29.1,11.5,3.4,0.1,0.4,17.0,12,2,3,39.4,37.0,0.1,6.6,7.0
9,Hoffenheim,65,457,160,35.0,13.4,4.7,0.1,0.4,17.9,16,6,6,53.6,49.0,0.1,11.4,10.0
10,Köln,28,441,142,32.2,13.0,4.2,0.0,0.2,17.8,12,5,6,39.3,34.7,0.1,-11.3,-11.7
11,Leverkusen,87,611,232,38.0,18.0,6.8,0.1,0.3,17.6,21,8,8,73.6,67.6,0.1,13.4,11.4
12,Mainz 05,38,476,134,28.2,14.0,3.9,0.1,0.3,17.5,20,1,5,44.6,40.7,0.1,-6.6,-3.7
13,RB Leipzig,74,528,214,40.5,15.5,6.3,0.1,0.3,16.8,17,4,7,65.6,60.2,0.1,8.4,9.8
14,Stuttgart,78,529,206,38.9,15.6,6.1,0.1,0.4,17.6,8,5,8,70.9,64.6,0.1,7.1,8.4
15,Union Berlin,33,403,127,31.5,11.8,3.7,0.1,0.2,16.4,7,3,6,40.1,35.3,0.1,-7.1,-5.3
16,Werder Bremen,45,407,125,30.7,12.0,3.7,0.1,0.3,17.4,14,5,6,46.9,42.0,0.1,-1.9,-2.0
17,Wolfsburg,41,411,147,35.8,12.1,4.3,0.1,0.3,17.7,17,2,3,39.2,36.7,0.1,1.8,2.3
