,Squad,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Atalanta,613,369,273,249,91,291,597,48.7,306,483,119,364,340,953,614,7
1,Bologna,633,385,299,267,67,303,579,52.3,276,426,113,313,258,891,677,17
2,Cagliari,540,315,272,203,65,264,525,50.3,261,373,113,260,265,805,816,12
3,Empoli,618,378,311,227,80,300,564,53.2,264,462,154,308,263,881,840,9
4,Fiorentina,564,320,242,231,91,275,512,53.7,237,388,81,307,236,800,509,8
5,Frosinone,545,322,244,225,76,253,525,48.2,272,439,143,296,241,786,789,14
6,Genoa,625,352,315,247,63,283,571,49.6,288,462,162,300,332,957,796,11
7,Hellas Verona,621,387,302,245,74,293,578,50.7,285,414,133,281,302,923,784,15
8,Inter,540,321,252,219,69,234,474,49.4,240,365,116,249,280,820,576,7
9,Juventus,577,369,270,233,74,264,445,59.3,181,375,124,251,253,830,725,4
10,Lazio,581,348,259,254,68,283,618,45.8,335,430,122,308,295,876,640,7
11,Lecce,605,374,285,252,68,289,566,51.1,277,429,117,312,308,913,751,8
12,Milan,576,333,274,232,70,273,521,52.4,248,367,146,221,252,828,548,16
13,Monza,565,334,307,195,63,266,484,55.0,218,378,151,227,279,844,642,8
14,Napoli,571,326,235,237,99,263,554,47.5,291,351,92,259,241,812,521,5
15,Roma,569,336,261,229,79,249,535,46.5,286,370,132,238,242,811,623,16
16,Salernitana,536,327,289,198,49,257,519,49.5,262,409,161,248,279,815,816,12
17,Sassuolo,507,310,241,198,68,245,531,46.1,286,402,143,259,267,774,767,14
18,Torino,471,275,207,213,51,191,386,49.5,195,303,100,203,329,800,594,15
19,Udinese,606,381,345,213,48,299,571,52.4,272,437,129,308,327,933,988,10
