,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Atalanta,29,38.0,971,2555,735,80,56,55,32,13,128,337,103,9,2,7,6,1
1,Bologna,28,38.0,823,2166,611,64,57,52,30,9,78,205,50,1,8,13,6,0
2,Cagliari,29,38.0,785,2066,550,80,41,54,43,17,70,184,44,5,6,10,3,2
3,Empoli,34,38.0,717,1887,480,84,34,48,57,14,46,121,30,3,3,4,6,0
4,Fiorentina,30,38.0,910,2395,679,79,37,59,44,12,106,279,71,11,8,10,5,1
5,Frosinone,34,38.0,801,2108,572,82,54,41,39,13,75,197,46,10,3,4,9,3
6,Genoa,34,38.0,705,1855,448,105,29,57,58,8,75,197,53,3,5,10,4,0
7,Hellas Verona,36,38.0,777,2045,546,91,39,42,40,19,69,182,46,6,5,4,4,4
8,Inter,27,38.0,1059,2787,819,85,24,68,47,16,152,400,109,9,7,10,13,4
9,Juventus,31,38.0,936,2463,669,89,51,68,38,21,87,229,54,6,4,14,6,3
10,Lazio,22,38.0,762,2005,573,60,34,49,34,12,74,195,54,2,2,9,6,1
11,Lecce,26,38.0,879,2313,593,92,57,69,42,26,49,129,30,4,3,3,6,3
12,Milan,35,38.0,1006,2647,726,86,74,73,33,14,139,366,102,7,15,10,4,1
13,Monza,31,38.0,800,2105,609,64,31,50,33,13,68,179,53,3,4,4,4,0
14,Napoli,29,38.0,1145,3013,835,85,73,86,52,14,86,226,58,3,6,7,9,3
15,Roma,30,38.0,858,2258,617,79,38,61,51,12,112,295,68,8,9,16,11,0
16,Salernitana,39,38.0,699,1839,515,68,24,48,30,14,52,137,35,6,3,6,2,0
17,Sassuolo,30,38.0,825,2171,620,62,45,49,38,11,73,192,50,4,1,8,8,2
18,Torino,30,38.0,764,2011,563,74,32,47,36,12,63,166,46,4,4,4,3,2
19,Udinese,32,38.0,793,2087,528,84,50,68,46,17,63,166,39,3,6,9,5,1
