,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Alavés,2,46,8,0,4,2,44.8,0.25,0.8,0.02
1,Almería,3,75,6,0,8,0,70.3,0.32,-4.7,-0.12
2,Athletic Club,2,37,1,0,2,4,40.4,0.28,7.4,0.2
3,Atlético Madrid,1,43,1,0,3,0,39.8,0.28,-3.2,-0.08
4,Barcelona,2,44,2,0,1,0,41.6,0.28,-2.4,-0.06
5,Betis,3,45,7,3,3,3,47.5,0.26,5.5,0.15
6,Cádiz,2,55,2,0,6,1,51.7,0.3,-2.3,-0.06
7,Celta Vigo,2,57,6,0,7,3,56.0,0.31,2.0,0.05
8,Getafe,2,54,5,0,7,0,55.2,0.29,1.2,0.03
9,Girona,1,46,5,0,8,0,51.1,0.28,5.1,0.13
10,Granada,4,79,5,0,12,2,70.2,0.33,-6.8,-0.18
11,Las Palmas,2,47,5,0,5,3,51.2,0.29,7.2,0.19
12,Mallorca,3,44,4,1,4,1,43.6,0.26,0.6,0.02
13,Osasuna,2,56,1,0,8,0,51.8,0.33,-4.2,-0.11
14,Rayo Vallecano,2,48,1,1,5,2,47.8,0.31,1.8,0.05
15,Real Madrid,3,26,1,0,2,1,34.4,0.29,9.4,0.25
16,Real Sociedad,2,39,6,0,5,1,40.8,0.27,2.8,0.07
17,Sevilla,3,54,5,1,4,2,53.5,0.28,1.5,0.04
18,Valencia,3,45,3,1,7,2,51.4,0.29,8.4,0.22
19,Villarreal,2,65,6,1,9,1,61.7,0.27,-2.3,-0.06
