,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Alavés,10091,14116,71.5,191648,83394,28,32.4,30.6,-4.4,341,937,273,105,1260
1,Almería,12774,16540,77.2,228494,85956,25,34.2,24.6,-9.2,349,870,212,86,1097
2,Athletic Club,14509,18724,77.5,256772,96209,41,37.0,40.3,4.0,355,1205,343,113,1610
3,Atlético Madrid,17064,20709,82.4,282535,101502,48,47.4,44.0,0.6,359,1226,380,68,1597
4,Barcelona,21506,24761,86.9,359810,114447,55,57.4,57.9,-2.4,457,1702,405,83,1925
5,Betis,15310,18979,80.7,256941,94528,31,32.7,33.8,-1.7,368,1037,327,53,1441
6,Cádiz,10763,14990,71.8,202974,86219,17,25.2,26.3,-8.2,292,899,219,106,1017
7,Celta Vigo,13890,17776,78.1,235944,93057,35,38.2,39.1,-3.2,367,1129,293,71,1345
8,Getafe,10713,15193,70.5,207208,83225,27,27.9,27.4,-0.9,324,1037,220,103,1141
9,Girona,18793,21914,85.8,318093,108506,64,54.0,52.4,10.0,377,1431,362,88,1685
10,Granada,12127,15976,75.9,225286,88195,27,31.1,30.4,-4.1,283,834,263,94,1044
11,Las Palmas,19105,22882,83.5,298427,110392,23,23.3,28.2,-0.3,295,1295,271,54,1596
12,Mallorca,11476,15645,73.4,218346,89351,27,30.8,29.1,-3.8,308,978,235,103,1174
13,Osasuna,12874,17335,74.3,243978,96863,32,28.5,31.6,3.5,301,1128,263,104,1322
14,Rayo Vallecano,13282,17459,76.1,240192,94205,12,24.6,25.3,-12.6,314,1082,255,81,1335
15,Real Madrid,21794,24691,88.3,349864,112682,66,52.5,50.5,13.5,476,1701,391,59,1935
16,Real Sociedad,15263,19249,79.3,276751,93632,36,30.7,32.9,5.3,320,1133,246,63,1414
17,Sevilla,14628,18599,78.6,267530,97170,30,31.7,32.7,-1.7,363,1207,286,134,1416
18,Valencia,12233,16255,75.3,217671,80185,24,27.0,24.2,-3.0,267,886,218,72,1162
19,Villarreal,15349,18637,82.4,278006,102363,47,40.5,40.4,6.5,365,1160,339,88,1558
