Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Gols,Gols,Gols,Gols,Gols,Esperado,Esperado,Esperado,Esperado,Lançados,Lançados,Lançados,Passes,Passes,Passes,Passes,Tiro de meta,Tiro de meta,Tiro de meta,Cruzamentos,Cruzamentos,Cruzamentos,Sweeper,Sweeper,Sweeper
Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
América (MG),4,38.0,81,5,3,6,3,733,32,-47,-12,184,427,431,629,180,440,370,307,489,392,691,57,82,35,92,68.0
Ath Paranaense,2,38.0,43,4,1,6,0,466,24,36,10,137,462,297,686,152,445,433,325,483,410,561,36,64,24,63,178.0
Atlético Mineiro,2,38.0,32,2,1,1,1,423,29,113,30,208,513,405,793,136,521,420,335,299,273,564,32,57,36,95,95.0
Bahia,3,38.0,53,6,1,4,1,601,29,81,21,200,512,391,884,141,422,237,277,502,404,466,28,60,39,103,
Botafogo (RJ),2,38.0,37,0,0,2,1,499,30,139,37,206,537,384,786,199,501,304,293,488,390,582,35,60,47,124,184.0
Corinthians,2,38.0,48,6,0,8,1,562,27,92,24,172,368,467,761,153,339,338,385,286,296,674,28,42,14,37,108.0
Coritiba,3,38.0,73,9,2,11,2,631,25,-79,-21,199,570,349,880,183,452,383,325,529,422,685,51,74,35,92,123.0
Cruzeiro,2,38.0,32,2,2,3,0,424,29,104,27,176,421,418,930,158,329,325,306,376,350,490,19,39,20,53,100.0
Cuiabá,2,38.0,39,4,0,3,2,442,27,72,19,192,424,453,708,148,376,392,289,547,415,590,38,64,15,39,63.0
Flamengo,3,38.0,42,6,0,3,0,487,25,67,18,153,399,383,1167,178,284,316,262,260,279,538,24,45,39,103,129.0
Fluminense,3,38.0,47,5,0,5,1,521,30,61,16,48,133,361,801,189,99,217,325,166,176,546,43,79,30,79,150.0
Fortaleza,3,38.0,44,3,0,10,2,444,25,24,6,141,410,344,582,165,392,365,295,617,435,530,35,66,9,24,107.0
Goiás,2,38.0,53,5,1,10,1,552,30,32,8,262,608,431,931,172,506,406,344,398,369,723,50,69,19,50,113.0
Grêmio,4,38.0,56,5,0,9,1,595,30,45,12,175,515,340,624,154,466,434,382,586,429,644,41,64,24,63,82.0
Internacional,3,38.0,45,6,2,5,1,517,28,77,20,125,395,316,710,144,387,342,300,400,365,623,31,50,35,92,138.0
Palmeiras,2,38.0,33,4,1,3,1,404,25,84,22,157,417,376,1007,216,330,340,282,301,315,443,39,88,20,53,128.0
Red Bull Bragantino,2,38.0,35,7,0,4,1,439,28,99,26,165,491,336,885,171,456,299,293,297,307,440,16,36,70,184,174.0
Santos,2,38.0,64,4,2,9,3,595,28,-15,-4,145,446,325,675,133,415,285,291,570,442,598,25,42,23,61,94.0
São Paulo,2,38.0,38,8,1,1,1,433,27,63,17,157,398,394,961,168,310,355,274,365,342,502,22,44,30,79,152.0
Vasco da Gama,1,38.0,51,4,2,5,0,529,27,19,5,137,369,371,633,144,378,343,316,411,355,600,34,57,15,39,106.0
