Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
América (MG),46,38.0,560,344,272,234,54,266,692,384,426,459,149,310,372,932,870,8
Ath Paranaense,40,38.0,579,341,257,259,63,281,584,481,303,422,126,296,357,936,717,6
Atlético Mineiro,31,38.0,753,483,368,296,89,365,782,467,417,423,137,286,355,1108,760,4
Bahia,35,38.0,692,430,315,299,78,334,745,448,411,431,91,340,399,1091,672,12
Botafogo (RJ),36,38.0,617,376,291,259,67,313,673,465,360,387,116,271,412,1029,813,7
Corinthians,36,38.0,607,364,317,224,66,301,690,436,389,498,178,320,328,935,845,5
Coritiba,47,38.0,683,418,331,282,70,343,731,469,388,453,152,301,385,1068,883,12
Cruzeiro,38,38.0,614,391,278,257,79,292,615,475,323,378,79,299,336,950,664,7
Cuiabá,30,38.0,645,411,337,237,71,330,771,428,441,430,129,301,295,940,787,6
Flamengo,32,38.0,641,412,280,270,91,311,712,437,401,374,140,234,295,936,683,11
Fluminense,37,38.0,546,339,239,225,82,280,576,486,296,400,145,255,259,805,620,11
Fortaleza,32,38.0,672,420,314,282,76,333,763,436,430,430,120,310,352,1024,732,8
Goiás,42,38.0,606,384,310,225,71,300,656,457,356,392,144,248,350,956,903,12
Grêmio,44,38.0,616,369,305,248,63,287,713,403,426,428,149,279,339,955,801,6
Internacional,35,38.0,601,370,281,241,79,323,682,474,359,387,112,275,316,917,779,10
Palmeiras,33,38.0,605,377,275,254,76,290,662,438,372,380,94,286,298,903,573,4
Red Bull Bragantino,35,38.0,644,391,263,280,101,290,686,423,396,457,125,332,398,1042,648,11
Santos,46,38.0,680,431,325,280,75,342,754,454,412,448,132,316,370,1050,829,9
São Paulo,38,38.0,545,346,247,235,63,295,647,456,352,402,132,270,263,808,637,8
Vasco da Gama,38,38.0,609,358,302,245,62,277,681,407,404,428,133,295,318,927,815,8
