Unnamed: 0_level_0,Unnamed: 1_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis
Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
América (MG),4,38,38,3.418,38.0,81,213,215,135,647,5,9,24,2,53,8,5,2,1,286.0
Ath Paranaense,2,38,38,3.42,38.0,43,113,170,124,771,14,14,10,10,263,7,4,3,0,429.0
Atlético Mineiro,2,38,38,3.42,38.0,32,84,140,109,786,19,9,10,15,395,2,2,0,0,0.0
Bahia,3,38,38,3.42,38.0,53,139,192,140,755,12,8,18,9,237,6,6,0,0,0.0
Botafogo (RJ),2,38,38,3.42,38.0,37,97,170,134,782,18,10,10,15,395,1,0,0,1,
Corinthians,2,38,38,3.42,38.0,48,126,187,140,775,12,14,12,10,263,7,6,0,1,0.0
Coritiba,3,38,38,3.42,38.0,73,192,220,148,709,8,6,24,6,158,10,9,1,0,100.0
Cruzeiro,2,38,38,3.42,38.0,32,84,140,108,786,11,14,13,16,421,3,2,0,1,0.0
Cuiabá,2,38,38,3.42,38.0,39,103,151,114,768,14,9,15,13,342,4,4,0,0,0.0
Flamengo,3,38,38,3.42,38.0,42,111,176,133,795,19,9,10,15,395,7,6,1,0,143.0
Fluminense,3,38,38,3.42,38.0,47,124,160,114,738,16,8,14,12,316,6,5,0,1,0.0
Fortaleza,3,38,38,3.42,38.0,44,116,160,116,744,15,9,14,10,263,7,3,2,2,400.0
Goiás,2,38,38,3.42,38.0,53,139,176,124,727,9,11,18,10,263,5,5,0,0,0.0
Grêmio,4,38,38,3.42,38.0,56,147,186,131,726,21,5,12,8,211,5,5,0,0,0.0
Internacional,3,38,38,3.42,38.0,45,118,164,119,762,15,10,13,11,289,7,6,1,0,143.0
Palmeiras,2,38,38,3.42,38.0,33,87,149,116,805,20,10,8,16,421,5,4,1,0,200.0
Red Bull Bragantino,2,38,38,3.42,38.0,35,92,130,95,785,17,11,10,17,447,8,7,1,0,125.0
Santos,2,38,38,3.42,38.0,64,168,202,140,703,11,10,17,8,211,6,4,1,1,200.0
São Paulo,2,38,38,3.42,38.0,38,100,134,97,776,14,11,13,15,395,9,8,0,1,0.0
Vasco da Gama,1,38,38,3.42,38.0,51,134,182,130,742,12,9,17,9,237,5,4,1,0,200.0
