Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,GCA,GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA
Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
América (MG),46,38.0,888,2337,664,77,47,46,41,13,74,195,56,5,3,6,3,1
Ath Paranaense,40,38.0,968,2547,673,102,61,55,55,22,94,247,77,4,1,5,6,1
Atlético Mineiro,31,38.0,833,2192,604,51,56,45,65,12,88,232,67,2,5,4,9,1
Bahia,35,38.0,933,2455,651,91,67,71,41,12,79,208,46,4,8,14,5,2
Botafogo (RJ),36,38.0,923,2429,647,88,71,56,48,13,100,263,61,11,10,10,7,1
Corinthians,36,38.0,801,2108,572,82,50,44,39,14,76,200,52,5,4,8,6,1
Coritiba,47,38.0,732,1926,505,71,47,39,58,12,68,179,43,7,5,6,7,0
Cruzeiro,38,38.0,936,2463,674,93,61,49,50,9,60,158,45,3,7,2,2,1
Cuiabá,30,38.0,781,2055,525,89,47,47,56,17,63,166,39,6,3,5,9,1
Flamengo,32,38.0,905,2382,687,52,63,53,40,10,102,268,66,6,13,4,13,0
Fluminense,37,38.0,990,2605,745,63,76,55,38,13,90,237,62,4,10,10,4,0
Fortaleza,32,38.0,947,2492,683,75,52,59,55,23,73,192,52,2,6,5,5,3
Goiás,42,38.0,850,2237,553,118,45,58,62,14,61,161,35,9,3,6,8,0
Grêmio,44,38.0,904,2379,624,100,65,58,43,14,107,282,75,9,6,8,5,4
Internacional,35,38.0,816,2147,610,53,37,58,43,15,80,211,61,3,2,7,4,3
Palmeiras,33,38.0,1079,2839,754,114,70,60,61,20,106,279,65,10,8,13,9,1
Red Bull Bragantino,35,38.0,1098,2889,802,82,66,81,53,14,80,211,51,4,7,13,4,1
Santos,46,38.0,821,2161,519,118,52,59,57,16,63,166,37,7,2,9,8,0
São Paulo,38,38.0,920,2421,658,71,72,59,45,15,64,168,39,4,6,10,4,1
Vasco da Gama,38,38.0,836,2200,612,66,52,43,56,7,69,182,43,4,9,6,7,0
