,Equipe,# J,90s,Att,Em jogo,Parado,FK,TB,Sw,Crz,TI,CK,In,Fora,Reto,Cmp,Desativado,Bloqueios
0,América (MG),46,38.0,15310,13452,1796,522,39,133,730,679,172,56,68,1,11502,62,316
1,Ath Paranaense,40,38.0,16909,14884,1958,552,53,182,685,784,216,73,109,1,13162,67,325
2,Atlético Mineiro,31,38.0,19257,17403,1793,501,56,127,658,699,188,104,55,1,15539,61,343
3,Bahia,35,38.0,17614,15585,1975,647,47,129,707,752,209,88,69,2,13881,54,340
4,Botafogo (RJ),36,38.0,17472,15572,1859,570,33,165,702,747,174,40,113,0,13905,41,284
5,Corinthians,36,38.0,19002,17008,1939,538,33,145,650,763,167,44,116,0,15479,55,314
6,Coritiba,47,38.0,15457,13438,1957,563,42,109,626,792,166,96,49,0,11817,62,291
7,Cruzeiro,38,38.0,18201,16083,2047,573,50,161,810,858,240,96,91,1,14361,71,399
8,Cuiabá,30,38.0,16082,14140,1865,616,26,124,828,696,187,67,82,0,12492,77,320
9,Flamengo,32,38.0,21653,19792,1810,579,46,174,642,683,207,89,60,4,18274,51,351
10,Fluminense,37,38.0,22733,20695,1963,614,28,135,707,729,210,83,55,4,19515,75,410
11,Fortaleza,32,38.0,16374,14419,1871,559,45,131,769,744,191,80,81,0,12720,84,325
12,Goiás,42,38.0,15828,13676,2066,620,46,132,702,810,201,84,99,8,12157,86,341
13,Grêmio,44,38.0,17285,15186,2040,593,54,74,576,770,202,51,77,0,13311,59,368
14,Internacional,35,38.0,19134,17245,1829,555,47,105,606,734,157,60,64,2,15590,60,342
15,Palmeiras,33,38.0,18222,16185,1937,619,39,181,919,723,242,104,79,1,14570,100,361
16,Red Bull Bragantino,35,38.0,18999,16831,2116,564,39,158,917,901,285,154,63,2,14607,52,402
17,Santos,46,38.0,15385,13378,1940,594,34,111,725,768,186,64,82,0,11747,67,367
18,São Paulo,38,38.0,21653,19673,1903,572,46,247,668,767,214,91,87,1,18241,77,366
19,Vasco da Gama,38,38.0,17392,15344,1981,552,24,116,889,822,203,89,77,0,13732,67,342
