Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Curto,Curto,Curto,Médio,Médio,Médio,Longo,Longo,Longo,Unnamed: 17_level_0,Unnamed: 18_level_0,Esperado,Esperado,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
América (MG),46,38.0,11502,15310,751,205952,86291,5201,6064,858,4594,5707,805,1332,2562,520,30,34.4,36.0,-4.4,395,1045,293,111,1387
Ath Paranaense,40,38.0,13162,16909,778,243850,90406,5664,6471,875,5690,6693,850,1560,2907,537,38,38.9,35.7,-0.9,419,1096,293,88,1362
Atlético Mineiro,31,38.0,15539,19257,807,274719,97475,7030,7866,894,6504,7487,869,1605,2881,557,35,32.9,33.5,2.1,347,1270,266,69,1399
Bahia,35,38.0,13881,17614,788,244593,89959,6308,7218,874,5777,6830,846,1414,2564,551,28,31.8,34.2,-3.8,403,1174,305,80,1502
Botafogo (RJ),36,38.0,13905,17472,796,257248,92227,5942,6741,881,5966,6980,855,1687,2921,578,40,33.1,32.6,6.9,394,1266,261,97,1438
Corinthians,36,38.0,15479,19002,815,275433,98149,6896,7678,898,6669,7705,866,1578,2712,582,28,27.0,27.4,1.0,348,1210,218,72,1377
Coritiba,47,38.0,11817,15457,765,215473,84223,5201,6076,856,5037,6008,838,1315,2576,510,25,25.6,24.1,-0.6,301,955,211,78,1147
Cruzeiro,38,38.0,14361,18201,789,269636,97127,5875,6770,868,6437,7467,862,1800,3050,590,26,35.2,36.5,-9.2,399,1320,298,87,1650
Cuiabá,30,38.0,12492,16082,777,229815,89196,5367,6185,868,5372,6405,839,1477,2647,558,24,24.8,26.6,-0.8,318,1109,231,76,1361
Flamengo,32,38.0,18274,21653,844,310238,102925,8821,9673,912,7534,8420,895,1510,2534,596,39,34.4,42.3,4.6,389,1694,387,76,1953
Fluminense,37,38.0,19515,22733,858,301792,96757,10600,11429,927,6943,7736,897,1275,2174,586,36,36.0,35.7,0.0,425,1501,323,86,1623
Fortaleza,32,38.0,12720,16374,777,231260,83905,5512,6267,880,5433,6487,838,1452,2696,539,29,35.1,31.3,-6.1,388,1191,283,92,1451
Goiás,42,38.0,12157,15828,768,231326,90720,4999,5761,868,5219,6243,836,1649,2900,569,22,24.5,27.5,-2.5,354,974,239,70,1284
Grêmio,44,38.0,13311,17285,770,223670,89614,6446,7485,861,5149,6241,825,1251,2452,510,45,36.4,36.4,8.6,389,1135,307,57,1541
Internacional,35,38.0,15590,19134,815,268435,91428,7156,8036,890,6829,7858,869,1284,2341,548,30,29.0,33.2,1.0,345,1206,261,68,1389
Palmeiras,33,38.0,14570,18222,800,286531,100915,5401,6140,880,6857,7897,868,2075,3334,622,44,43.1,39.3,0.9,445,1270,306,122,1593
Red Bull Bragantino,35,38.0,14607,18999,769,261348,99278,6620,7618,869,6004,7210,833,1629,3061,532,30,39.1,40.9,-9.1,465,1411,342,87,1768
Santos,46,38.0,11747,15385,764,209100,77717,5283,6066,871,4909,5919,829,1233,2470,499,26,28.9,30.6,-2.9,338,861,233,59,1237
São Paulo,38,38.0,18241,21653,842,327180,104072,7913,8681,912,8031,8943,898,1871,2941,636,27,33.1,34.5,-6.1,383,1437,299,74,1665
Vasco da Gama,38,38.0,13732,17392,790,247786,88502,6025,6783,888,5928,6963,851,1469,2714,541,30,32.4,33.9,-2.4,342,1120,308,145,1358
