,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,América (MG),46,43.0,38.0,19684,2157,6159,8824,4983,767,19678,752,361,480,315,419,10717,63521,33084,638,475,131,570,305,11376,1368
1,Ath Paranaense,40,48.5,38.0,21081,2178,6475,9972,4850,764,21077,673,344,511,267,397,11383,59033,29355,592,447,124,538,314,13041,1350
2,Atlético Mineiro,31,52.7,38.0,23506,2370,6974,11511,5279,642,23500,745,386,518,285,383,13672,73437,39054,669,552,146,577,362,15371,1387
3,Bahia,35,49.6,38.0,21858,2132,6538,10216,5355,748,21854,742,362,488,316,426,12253,67016,35897,688,539,121,575,305,13734,1494
4,Botafogo (RJ),36,48.1,38.0,21771,2064,6292,10671,5045,710,21764,798,387,485,324,406,12252,68829,34571,658,488,147,564,314,13796,1423
5,Corinthians,36,48.8,38.0,23228,2624,7681,10961,4801,621,23221,727,319,439,316,435,13334,66409,34274,649,461,121,535,237,15367,1366
6,Coritiba,47,43.9,38.0,19990,2496,7102,8900,4249,556,19981,809,393,486,326,403,10787,58728,29667,551,416,109,595,326,11717,1134
7,Cruzeiro,38,51.4,38.0,22260,2126,6452,10305,5733,682,22257,749,375,501,304,406,12539,68424,36621,636,490,131,583,291,14213,1636
8,Cuiabá,30,43.7,38.0,20078,2121,6179,9388,4728,595,20070,637,337,529,218,342,10754,58930,31423,577,451,112,583,293,12350,1349
9,Flamengo,32,57.4,38.0,25693,2159,6779,12312,6844,890,25684,815,409,502,327,401,15900,82041,43380,713,619,153,540,343,18086,1939
10,Fluminense,37,61.5,38.0,26737,2826,8645,11787,6537,779,26732,932,486,521,349,374,17303,87480,49595,847,603,167,547,357,19379,1615
11,Fortaleza,32,46.6,38.0,20510,1819,5635,10148,4982,761,20503,733,375,512,283,386,11470,66783,35390,695,482,162,475,308,12601,1444
12,Goiás,42,44.6,38.0,20123,2519,6843,8790,4692,667,20118,678,327,482,284,419,10517,56439,30656,523,431,103,574,351,12036,1275
13,Grêmio,44,46.7,38.0,21562,2132,5891,9976,5907,781,21555,736,359,488,313,425,11563,57745,29595,541,473,140,574,317,13197,1529
14,Internacional,35,51.6,38.0,23225,2098,6573,11777,5083,698,23221,710,363,511,274,386,13428,70277,36320,618,505,131,542,294,15431,1375
15,Palmeiras,33,52.7,38.0,22082,2045,6482,10284,5556,803,22078,752,391,520,280,372,12846,71906,38686,788,563,174,527,283,14426,1583
16,Red Bull Bragantino,35,56.5,38.0,23580,1927,5931,10693,7202,870,23577,878,436,497,357,407,13242,71527,37053,721,614,166,655,380,14466,1752
17,Santos,46,44.4,38.0,19772,2018,6241,9013,4780,701,19766,842,392,466,352,418,10768,63461,32663,709,514,155,532,338,11634,1222
18,São Paulo,38,59.5,38.0,25509,2379,7557,12451,5732,766,25500,883,467,529,332,376,15476,78721,40197,694,541,138,506,360,18077,1655
19,Vasco da Gama,38,48.8,38.0,21555,2262,6854,9975,5010,722,21551,792,393,496,331,418,12358,68451,35588,664,514,119,541,284,13606,1345
