Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
1,Palmeiras,38,20,10,8,64,33,31,70,184,57.2,39.4,17.8,47,33.22,Endrick,Wéverton,11
2,Grêmio,38,21,5,12,63,56,7,68,179,49.9,54.9,-5.0,-13,34.585,Luis Suárez,Gabriel Chapecó,17
3,Atlético Mineiro,38,19,9,10,52,32,20,66,174,46.5,40.9,5.5,15,33.068,Paulinho,Éverson,20
4,Flamengo,38,19,9,10,56,42,14,66,174,50.0,44.6,5.4,14,57.486,Pedro,Matheus Cunha,13
5,Botafogo (RJ),38,18,10,10,58,37,21,64,168,50.1,49.0,1.0,3,27.29,Tiquinho Soares,Lucas Perri,17
6,Red Bull Bragantino,38,17,11,10,49,35,14,62,163,57.9,42.8,15.1,40,6.051,Eduardo Sasha,Cleiton Schwengber,11
7,Fluminense,38,16,8,14,51,47,4,56,147,49.9,48.6,1.3,3,34.431,Germán Cano,Fábio,10
8,Ath Paranaense,38,14,14,10,51,43,8,56,147,51.1,46.6,4.5,12,22.378,Vitor Roque,Bento,12
9,Internacional,38,15,10,13,46,45,1,55,145,42.4,47.2,-4.8,-13,26.675,Enner Valencia,Sergio Rochet,9
10,Fortaleza,38,15,9,14,45,44,1,54,142,51.5,43.7,7.8,20,33.54,Juan Martín Lucero,João Ricardo Riedi,9
11,São Paulo,38,14,11,13,40,38,2,53,139,49.5,36.7,12.7,33,43.8,"Luciano, Jonathan Calleri",Rafael Pires,9
12,Cuiabá,38,14,9,15,40,39,1,51,134,38.7,42.1,-3.4,-9,16.859,Deyverson,Walter,12
13,Corinthians,38,12,14,12,47,48,-1,50,132,40.5,49.7,-9.2,-24,36.565,"Ángel Romero, Yuri Alberto",Cássio,8
14,Cruzeiro,38,11,14,13,35,32,3,47,124,48.2,41.8,6.5,17,30.527,Bruno Nascimento,Rafael Cabral,8
15,Vasco da Gama,38,12,9,17,41,51,-10,45,118,47.6,46.2,1.3,3,21.746,Pablo Vegetti,Léo Jardim,10
16,Bahia,38,12,8,18,50,53,-3,44,116,50.6,51.3,-0.6,-2,36.97,Everaldo Stum,Marcos Felipe,9
17,Santos,38,11,10,17,39,64,-25,43,113,42.6,51.5,-8.9,-23,8.196,Marcos Leonardo,João Paulo,13
18,Goiás,38,9,11,18,36,53,-17,38,100,36.6,45.9,-9.3,-24,10.026,Guilherme,Tadeu,6
19,Coritiba,38,8,6,24,41,73,-32,30,79,39.3,60.8,-21.6,-57,20.77,Robson,Gabriel,12
20,América (MG),38,5,9,24,42,81,-39,24,63,46.7,62.9,-16.2,-43,6.373,Gonzalo Mastriani,Matheus Cavichioli,11
