,Equipe,# J,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PB,PT,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,América (MG),46,38.0,42,510,155,304,1342,408,7,25,190,17,4,6,46.7,42.1,8,-4.7,-4.1
1,Ath Paranaense,40,38.0,51,551,168,305,1450,442,9,28,193,23,4,4,51.1,48.2,9,-0.1,-1.2
2,Atlético Mineiro,31,38.0,51,480,165,344,1263,434,9,27,201,43,6,6,46.5,42.3,9,4.5,2.7
3,Bahia,35,38.0,48,535,164,307,1408,432,8,27,185,16,4,4,50.6,47.6,9,-2.6,-3.6
4,Botafogo (RJ),36,38.0,56,516,168,326,1358,442,10,30,192,21,5,7,50.1,44.6,9,5.9,6.4
5,Corinthians,36,38.0,45,455,156,343,1197,411,9,25,194,18,6,7,40.5,35.1,8,4.5,3.9
6,Coritiba,47,38.0,40,420,140,333,1105,368,8,23,203,30,8,9,39.3,32.2,8,0.7,-0.2
7,Cruzeiro,38,38.0,32,525,162,309,1382,426,6,19,192,28,2,4,48.2,45.0,9,-16.2,-15.0
8,Cuiabá,30,38.0,39,440,131,298,1158,345,7,24,201,16,7,8,38.7,32.7,8,0.3,-0.7
9,Flamengo,32,38.0,55,490,168,343,1289,442,10,28,183,15,8,9,50.0,43.0,9,5.0,4.0
10,Fluminense,37,38.0,51,545,202,371,1434,532,9,24,194,18,3,5,49.9,46.0,9,1.1,2.0
11,Fortaleza,32,38.0,44,540,181,335,1421,476,7,22,191,30,5,7,51.5,46.0,9,-7.5,-7.0
12,Goiás,42,38.0,35,492,133,270,1295,350,6,23,189,20,5,5,36.6,32.8,7,-1.6,-2.8
13,Grêmio,44,38.0,61,500,186,372,1316,489,11,30,181,18,5,7,49.9,44.5,9,11.1,11.5
14,Internacional,35,38.0,45,459,146,318,1208,384,9,29,196,23,3,4,42.4,39.1,9,2.6,2.9
15,Palmeiras,33,38.0,62,609,206,338,1603,542,10,29,186,26,2,4,57.2,54.1,9,4.8,5.9
16,Red Bull Bragantino,35,38.0,48,635,208,328,1671,547,7,22,193,27,3,3,57.9,55.5,9,-9.9,-10.5
17,Santos,46,38.0,37,463,146,315,1218,384,7,21,181,29,6,6,42.6,37.9,8,-5.6,-6.9
18,São Paulo,38,38.0,40,513,162,316,1350,426,7,22,195,20,5,9,49.5,42.1,8,-9.5,-7.1
19,Vasco da Gama,38,38.0,41,476,148,311,1253,389,8,25,175,30,4,4,47.6,44.5,10,-6.6,-7.5
