Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
América (MG),46,291,43.0,38,418,3.42,38.0,42,30,72,38,4,6,89,10,46.7,42.1,34.4,765,638,1387,111,79,189,100,179,123,91,213,111,201
Ath Paranaense,40,261,48.5,38,418,3.42,38.0,51,38,89,47,4,4,109,4,51.1,48.2,38.9,871,592,1362,134,100,234,124,224,134,102,237,127,229
Atlético Mineiro,31,287,52.7,38,418,3.42,38.0,51,35,86,45,6,6,113,5,46.5,42.3,32.9,752,669,1399,134,92,226,118,211,122,87,209,111,198
Bahia,35,269,49.6,38,418,3.42,38.0,48,28,76,44,4,4,100,5,50.6,47.6,31.8,794,688,1502,126,74,200,116,189,133,84,217,125,209
Botafogo (RJ),36,285,48.1,38,418,3.42,38.0,56,40,96,51,5,7,93,4,50.1,44.6,33.1,776,658,1438,147,105,253,134,239,132,87,219,117,204
Corinthians,36,274,48.8,38,418,3.42,38.0,45,28,73,39,6,7,91,3,40.5,35.1,27.0,621,649,1377,118,74,192,103,176,107,71,178,92,163
Coritiba,47,271,43.9,38,418,3.42,38.0,40,25,65,32,8,9,124,5,39.3,32.2,25.6,578,551,1147,105,66,171,84,150,103,67,171,85,152
Cruzeiro,38,278,51.4,38,418,3.42,38.0,32,26,58,30,2,4,101,4,48.2,45.0,35.2,802,636,1650,84,68,153,79,147,127,93,220,119,211
Cuiabá,30,281,43.7,38,418,3.42,38.0,39,24,63,32,7,8,91,3,38.7,32.7,24.8,575,577,1361,103,63,166,84,147,102,65,167,86,151
Flamengo,32,267,57.4,38,418,3.42,38.0,55,39,94,47,8,9,85,5,50.0,43.0,34.4,773,713,1953,145,103,247,124,226,132,90,222,113,204
Fluminense,37,292,61.5,38,418,3.42,38.0,51,36,87,48,3,5,124,9,49.9,46.0,36.0,820,847,1623,134,95,229,126,221,131,95,226,121,216
Fortaleza,32,297,46.6,38,418,3.42,38.0,44,29,73,39,5,7,97,1,51.5,46.0,35.1,811,695,1451,116,76,192,103,179,136,92,228,121,213
Goiás,42,277,44.6,38,418,3.42,38.0,35,22,57,30,5,5,107,6,36.6,32.8,24.5,573,523,1284,92,58,150,79,137,96,65,161,86,151
Grêmio,44,279,46.7,38,418,3.42,38.0,61,45,106,56,5,7,103,5,49.9,44.5,36.4,810,541,1541,161,118,279,147,266,131,96,227,117,213
Internacional,35,285,51.6,38,418,3.42,38.0,45,30,75,42,3,4,111,6,42.4,39.1,29.0,681,618,1389,118,79,197,111,189,111,76,188,103,179
Palmeiras,33,269,52.7,38,418,3.42,38.0,62,44,106,60,2,4,96,4,57.2,54.1,43.1,972,788,1593,163,116,279,158,274,150,113,264,142,256
Red Bull Bragantino,35,242,56.5,38,418,3.42,38.0,48,30,78,45,3,3,109,6,57.9,55.5,39.1,946,721,1768,126,79,205,118,197,152,103,255,146,249
Santos,46,265,44.4,38,418,3.42,38.0,37,26,63,31,6,6,105,8,42.6,37.9,28.9,668,709,1237,97,68,166,82,150,112,76,188,100,176
São Paulo,38,267,59.5,38,418,3.42,38.0,40,27,67,35,5,9,107,5,49.5,42.1,33.1,752,694,1665,105,71,176,92,163,130,87,217,111,198
Vasco da Gama,38,262,48.8,38,418,3.42,38.0,41,30,71,37,4,4,101,6,47.6,44.5,32.4,769,664,1358,108,79,187,97,176,125,85,210,117,202
