Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
Arsenal,2,38.0,29,2,1,6,1,241,26,-39,-10,157,441,356,1058,189,351,307,195,359,311,375,48,128,59,155,179
Aston Villa,2,38.0,61,1,1,10,4,619,36,49,13,136,380,358,1386,176,218,271,246,317,295,419,51,122,70,184,84
Bournemouth,3,38.0,67,6,1,6,1,632,30,-28,-7,199,581,343,976,177,440,417,266,571,439,492,31,63,37,97,148
Brentford,2,38.0,65,2,0,6,0,570,30,-80,-21,254,677,375,1330,136,371,345,318,575,449,605,46,76,38,100,126
Brighton,2,38.0,62,6,1,8,2,511,28,-89,-23,102,274,372,1278,186,203,244,254,59,120,405,24,59,72,189,158
Burnley,2,38.0,78,6,0,11,3,758,29,8,2,215,825,261,1826,216,356,343,284,616,447,562,50,89,74,195,172
Chelsea,2,38.0,63,3,0,8,3,525,27,-75,-20,128,361,355,1129,184,225,281,282,379,326,514,39,76,47,124,158
Crystal Palace,3,38.0,58,3,0,7,2,475,29,-85,-22,176,605,291,826,115,518,412,255,694,492,586,30,51,29,76,112
Everton,1,38.0,51,8,0,9,3,524,28,44,12,360,901,400,1296,141,567,416,274,606,482,570,30,53,54,142,159
Fulham,1,38.0,61,8,2,3,4,557,26,-13,-3,144,439,328,1272,167,255,285,301,382,330,472,19,40,40,105,142
Liverpool,2,38.0,41,1,0,7,2,400,27,10,3,92,285,323,1348,192,170,247,228,246,275,376,18,48,46,121,177
Luton Town,2,38.0,85,4,0,13,4,777,34,-33,-9,274,814,337,1122,151,524,508,349,648,468,561,16,29,77,203,190
Manchester City,2,38.0,34,3,0,3,1,362,31,32,8,142,314,452,1342,161,197,272,158,310,319,312,31,99,63,166,173
Manchester Utd,1,38.0,58,7,1,11,1,591,27,21,6,149,513,290,1184,140,354,312,329,286,260,601,42,70,37,97,129
Newcastle Utd,3,38.0,62,4,1,8,1,610,29,0,0,100,301,332,803,236,188,363,281,534,405,449,30,67,53,139,195
Nott'ham Forest,3,38.0,67,4,1,15,2,472,27,-178,-47,229,519,441,818,171,425,357,304,563,414,611,44,72,24,63,133
Sheffield Utd,2,38.0,104,5,0,12,7,852,31,-118,-31,271,818,331,988,126,553,412,352,773,540,661,39,59,56,147,144
Tottenham,1,38.0,61,7,1,8,3,600,32,20,5,53,225,236,1308,193,149,240,256,117,194,511,33,65,81,213,171
West Ham,2,38.0,74,8,0,6,4,720,26,20,5,210,553,380,793,188,468,390,307,593,434,582,35,60,8,21,76
Wolves,2,38.0,65,8,1,7,1,717,32,77,20,100,480,208,933,199,343,338,305,525,400,572,45,79,31,82,133
