Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Curto,Curto,Curto,Médio,Médio,Médio,Longo,Longo,Longo,Unnamed: 17_level_0,Unnamed: 18_level_0,Esperado,Esperado,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,25,38.0,19094,22558,846,309533,102210,9719,10643,913,7809,8765,891,1178,2162,545,62,55.3,57.8,6.7,513,1546,548,68,2106
Aston Villa,31,38.0,16133,19363,833,281128,95293,7110,7878,903,7381,8273,892,1330,2368,562,55,48.6,42.5,6.4,398,1160,363,67,1451
Bournemouth,30,38.0,11899,15920,747,220978,83235,4976,5868,848,5270,6214,848,1393,2964,470,39,40.5,33.7,-1.5,414,1074,352,88,1314
Brentford,28,38.0,12551,16818,746,225971,88492,5616,6628,847,5236,6432,814,1382,2776,498,38,42.7,40.0,-4.7,332,965,333,106,1283
Brighton,30,38.0,21810,25029,871,341060,113686,11574,12473,928,8261,9125,905,1296,2164,599,36,41.6,43.7,-5.6,429,1484,384,81,1780
Burnley,31,38.0,13937,17959,776,246047,83556,6311,7267,868,6017,7042,854,1324,2755,481,30,29.7,26.6,0.3,326,976,216,54,1181
Chelsea,32,38.0,20039,23364,858,328448,109853,10006,10877,920,8176,9060,902,1365,2328,586,51,51.4,43.1,-0.4,419,1351,352,51,1615
Crystal Palace,26,38.0,12915,16754,771,225542,84922,6040,6920,873,5338,6287,849,1204,2608,462,43,38.7,31.5,4.3,353,995,273,60,1176
Everton,26,38.0,11349,15514,732,208537,88374,5198,6091,853,4386,5405,811,1469,3057,481,17,38.1,31.8,-21.1,339,958,284,77,1129
Fulham,25,38.0,16311,20237,806,290238,100538,7028,7907,889,7277,8347,872,1586,2853,556,40,37.6,33.6,2.4,379,1117,355,94,1467
Liverpool,30,38.0,20376,24379,836,346550,118702,9656,10641,907,8627,9763,884,1637,2814,582,60,63.7,55.6,-3.7,598,1666,506,80,2110
Luton Town,28,38.0,11048,15099,732,201475,81352,4969,5784,859,4443,5431,818,1289,2879,448,33,29.5,27.5,3.5,315,835,250,90,1113
Manchester City,25,38.0,24616,27758,887,394064,112270,12895,13721,940,9449,10306,917,1652,2498,661,69,60.2,62.1,8.8,545,1890,484,65,2060
Manchester Utd,31,38.0,15785,19538,808,260507,91226,7892,8866,890,5965,6943,859,1355,2517,538,36,40.1,34.6,-4.1,434,1202,338,50,1479
Newcastle Utd,32,38.0,16117,19852,812,274265,96401,7681,8623,891,6722,7757,867,1358,2504,542,55,51.3,43.5,3.7,424,1107,380,76,1557
Nott'ham Forest,33,38.0,11873,15673,758,209938,83047,5506,6412,859,4763,5857,813,1262,2490,507,43,38.0,27.9,5.0,325,905,244,61,1140
Sheffield Utd,35,38.0,9521,13498,705,169803,71320,4486,5347,839,3733,4691,796,1044,2630,397,18,25.8,21.0,-7.8,257,701,198,48,884
Tottenham,29,38.0,20649,24197,853,326221,111380,10630,11617,915,8361,9345,895,1089,1905,572,58,57.4,52.1,0.6,460,1588,454,65,2107
West Ham,26,38.0,12568,16373,768,219336,85575,6043,6856,881,4817,5751,838,1330,2718,489,40,34.8,30.8,5.2,305,979,225,71,1207
Wolves,27,38.0,15484,19175,808,255933,84649,7694,8577,897,6100,7016,869,1218,2527,482,36,31.8,27.6,4.2,316,910,239,61,1180
