Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos
Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,250,58.2,38,418,3.42,38.0,86,62,148,76,10,10,64,2,76.1,68.5,55.3,1238,821,2106,226,163,389,200,363,200,146,346,180,326
Aston Villa,31,269,53.1,38,418,3.42,38.0,72,55,127,68,4,4,94,2,63.3,60.3,48.6,1089,775,1451,189,145,334,179,324,167,128,295,159,287
Bournemouth,30,257,44.4,38,418,3.42,38.0,52,39,91,50,2,3,79,3,55.9,53.6,40.5,940,709,1314,137,103,239,132,234,147,106,254,141,247
Brentford,28,266,45.2,38,418,3.42,38.0,54,38,92,51,3,3,89,2,58.2,56.0,42.7,988,505,1283,142,100,242,134,234,153,112,266,147,260
Brighton,30,259,59.8,38,418,3.42,38.0,50,36,86,45,5,6,90,3,56.8,52.2,41.6,938,864,1780,132,95,226,118,213,149,109,259,137,247
Burnley,31,245,47.4,38,418,3.42,38.0,40,30,70,37,3,3,77,7,40.6,38.3,29.7,680,727,1181,105,79,184,97,176,107,78,185,101,179
Chelsea,32,242,58.6,38,418,3.42,38.0,76,51,127,65,11,12,109,4,74.5,65.1,51.4,1165,873,1615,200,134,334,171,305,196,135,331,171,306
Crystal Palace,26,267,42.3,38,418,3.42,38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,841,506,1176,147,113,261,137,250,128,102,230,120,221
Everton,26,271,40.8,38,418,3.42,38.0,40,17,57,38,2,3,82,1,54.0,51.6,38.1,898,495,1129,105,45,150,100,145,142,100,243,136,236
Fulham,25,284,50.6,38,418,3.42,38.0,54,40,94,52,2,2,84,4,50.8,49.2,37.6,868,670,1467,142,105,247,137,242,134,99,233,130,229
Liverpool,30,263,61.3,38,418,3.42,38.0,80,60,140,74,6,9,69,5,87.8,80.4,63.7,1441,924,2110,211,158,368,195,353,231,168,398,212,379
Luton Town,28,267,42.4,38,418,3.42,38.0,49,33,82,44,5,5,71,0,42.4,38.6,29.5,682,675,1113,129,87,216,116,203,112,78,189,102,179
Manchester City,25,266,65.2,38,418,3.42,38.0,94,69,163,85,9,10,53,2,80.5,72.9,60.2,1331,1127,2060,247,182,429,224,405,212,158,370,192,350
Manchester Utd,31,261,50.6,38,418,3.42,38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,910,759,1479,150,95,245,134,229,149,106,254,134,240
Newcastle Utd,32,272,52.2,38,418,3.42,38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,1203,737,1557,218,145,363,197,342,200,135,335,182,317
Nott'ham Forest,33,257,40.6,38,418,3.42,38.0,49,43,92,48,1,1,82,3,49.9,49.1,38.0,871,604,1140,129,113,242,126,239,131,100,231,129,229
Sheffield Utd,35,257,35.8,38,418,3.42,38.0,31,18,49,26,5,5,101,5,38.3,34.4,25.8,602,343,884,82,47,129,68,116,101,68,169,91,158
Tottenham,29,252,61.6,38,418,3.42,38.0,69,58,127,67,2,2,92,4,68.2,66.7,57.4,1241,957,2107,182,153,334,176,329,179,151,331,175,327
West Ham,26,283,41.1,38,418,3.42,38.0,58,40,98,54,4,5,82,3,52.3,48.4,34.8,832,556,1207,153,105,258,142,247,138,92,229,127,219
Wolves,27,266,48.9,38,418,3.42,38.0,47,36,83,43,4,4,102,4,46.7,43.6,31.8,754,671,1180,124,95,218,113,208,123,84,207,115,198
