,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Alavés,2,38,38,3.42,38.0,46,121,147,103,741,12,10,16,11,289,8,8,0,0,0
1,Almería,3,38,38,3.42,38.0,75,197,202,126,658,3,12,23,6,158,9,6,1,2,143
2,Athletic Club,2,38,38,3.42,38.0,37,97,134,98,731,19,11,8,18,474,5,1,3,1,750
3,Atlético Madrid,1,38,38,3.42,38.0,43,113,144,101,708,24,4,10,13,342,2,1,0,1,0
4,Barcelona,2,38,38,3.42,38.0,44,116,141,97,702,26,7,5,17,447,2,2,0,0,0
5,Betis,3,38,38,3.42,38.0,45,118,158,115,759,14,15,9,13,342,8,7,1,0,125
6,Cádiz,2,38,38,3.42,38.0,55,145,175,121,697,6,15,17,10,263,2,2,0,0,0
7,Celta Vigo,2,38,38,3.417,38.0,57,150,164,109,689,10,11,17,6,158,8,6,1,1,143
8,Getafe,2,38,38,3.42,38.0,54,142,173,118,717,10,13,15,10,263,7,5,1,1,167
9,Girona,1,38,38,3.42,38.0,46,121,168,121,756,25,6,7,12,316,7,5,1,1,167
10,Granada,4,38,38,3.42,38.0,79,208,203,126,635,4,9,25,3,79,6,5,0,1,0
11,Las Palmas,2,38,38,3.416,38.0,47,124,156,109,731,10,10,18,8,211,9,5,3,1,375
12,Mallorca,3,38,38,3.42,38.0,44,116,148,104,730,8,16,14,10,263,5,4,1,0,200
13,Osasuna,2,38,38,3.42,38.0,56,147,152,95,638,12,9,17,10,263,2,1,1,0,500
14,Rayo Vallecano,2,38,38,3.42,38.0,48,126,151,104,689,8,14,16,13,342,2,1,1,0,500
15,Real Madrid,3,38,38,3.42,38.0,26,68,118,93,788,29,8,1,21,553,1,1,0,0,0
16,Real Sociedad,2,38,38,3.417,38.0,39,103,135,96,756,16,12,10,15,395,7,6,1,0,143
17,Sevilla,3,38,38,3.42,38.0,54,142,175,123,720,10,11,17,8,211,5,5,0,0,0
18,Valencia,3,38,38,3.42,38.0,45,118,160,114,738,13,10,15,13,342,6,3,3,0,500
19,Villarreal,2,38,38,3.42,38.0,65,171,214,150,724,14,11,13,6,158,6,6,0,0,0
