Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,GCA,GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA
Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
Alavés,30,38.0,817,2150,563,88,54,53,43,16,60,158,39,5,6,4,6,0
Almería,35,38.0,823,2166,586,66,47,52,50,22,70,184,45,3,7,9,4,2
Athletic Club,27,38.0,817,2150,612,81,48,33,32,11,103,271,83,6,6,3,4,1
Atlético Madrid,27,38.0,852,2242,650,59,56,42,31,14,120,316,94,3,10,7,5,1
Barcelona,29,38.0,1063,2797,798,83,63,69,39,11,136,358,105,6,6,11,7,1
Betis,35,38.0,870,2289,632,75,52,62,34,15,78,205,57,3,5,7,3,3
Cádiz,34,38.0,698,1837,478,85,30,48,42,15,40,105,25,4,1,5,4,1
Celta Vigo,31,38.0,855,2250,645,67,50,43,42,8,81,213,63,2,5,5,6,0
Getafe,33,38.0,766,2016,531,87,45,48,40,15,69,182,40,8,8,9,4,0
Girona,25,38.0,872,2295,674,62,45,45,36,10,152,400,119,7,10,7,8,1
Granada,40,38.0,708,1863,475,74,47,50,49,13,63,166,45,3,3,5,5,2
Las Palmas,29,38.0,707,1861,560,40,38,30,30,9,60,158,49,3,1,3,3,1
Mallorca,25,38.0,734,1932,501,99,37,52,33,12,57,150,33,12,1,8,3,0
Osasuna,29,38.0,714,1879,505,77,32,47,45,8,73,192,45,8,4,10,6,0
Rayo Vallecano,26,38.0,815,2145,548,79,36,62,70,20,40,105,21,3,3,7,5,1
Real Madrid,27,38.0,1082,2847,813,72,84,59,38,16,154,405,113,8,16,13,2,2
Real Sociedad,31,38.0,775,2039,528,79,53,59,37,19,79,208,54,4,6,9,4,2
Sevilla,35,38.0,874,2300,641,94,42,40,45,12,84,221,62,6,6,5,2,3
Valencia,29,38.0,670,1763,478,66,38,29,42,17,66,174,47,3,5,5,6,0
Villarreal,32,38.0,855,2250,624,76,53,56,30,16,111,292,77,9,4,15,5,1
