Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Curto,Curto,Curto,Médio,Médio,Médio,Longo,Longo,Longo,Unnamed: 17_level_0,Unnamed: 18_level_0,Esperado,Esperado,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,30,38.0,10091,14116,715,191648,83394,4443,5283,841,4011,5052,794,1375,2889,476,28,32.4,30.6,-4.4,341,937,273,105,1260
Almería,35,38.0,12774,16540,772,228494,85956,5654,6480,873,5476,6405,855,1322,2747,481,25,34.2,24.6,-9.2,349,870,212,86,1097
Athletic Club,27,38.0,14509,18724,775,256772,96209,6598,7600,868,6186,7288,849,1393,2832,492,41,37.0,40.3,4.0,355,1205,343,113,1610
Atlético Madrid,27,38.0,17064,20709,824,282535,101502,8654,9535,908,6433,7422,867,1442,2542,567,48,47.4,44.0,0.6,359,1226,380,68,1597
Barcelona,29,38.0,21506,24761,869,359810,114447,10598,11481,923,8724,9617,907,1717,2604,659,55,57.4,57.9,-2.4,457,1702,405,83,1925
Betis,35,38.0,15310,18979,807,256941,94528,7398,8260,896,5944,6913,860,1383,2561,540,31,32.7,33.8,-1.7,368,1037,327,53,1441
Cádiz,34,38.0,10763,14990,718,202974,86219,4837,5694,849,4144,5163,803,1455,3198,455,17,25.2,26.3,-8.2,292,899,219,106,1017
Celta Vigo,31,38.0,13890,17776,781,235944,93057,6703,7631,878,5538,6545,846,1223,2495,490,35,38.2,39.1,-3.2,367,1129,293,71,1345
Getafe,33,38.0,10713,15193,705,207208,83225,4641,5528,840,4142,5344,775,1625,3436,473,27,27.9,27.4,-0.9,324,1037,220,103,1141
Girona,25,38.0,18793,21914,858,318093,108506,8986,9734,923,7878,8692,906,1460,2446,597,64,54.0,52.4,10.0,377,1431,362,88,1685
Granada,40,38.0,12127,15976,759,225286,88195,5270,6031,874,5127,6099,841,1458,2965,492,27,31.1,30.4,-4.1,283,834,263,94,1044
Las Palmas,29,38.0,19105,22882,835,298427,110392,10201,11174,913,7170,8097,886,1145,2312,495,23,23.3,28.2,-0.3,295,1295,271,54,1596
Mallorca,25,38.0,11476,15645,734,218346,89351,4934,5790,852,4717,5815,811,1549,3119,497,27,30.8,29.1,-3.8,308,978,235,103,1174
Osasuna,29,38.0,12874,17335,743,243978,96863,5474,6420,853,5487,6696,819,1666,3277,508,32,28.5,31.6,3.5,301,1128,263,104,1322
Rayo Vallecano,26,38.0,13282,17459,761,240192,94205,5918,6783,872,5584,6657,839,1436,3063,469,12,24.6,25.3,-12.6,314,1082,255,81,1335
Real Madrid,27,38.0,21794,24691,883,349864,112682,11641,12391,939,7949,8734,910,1624,2474,656,66,52.5,50.5,13.5,476,1701,391,59,1935
Real Sociedad,31,38.0,15263,19249,793,276751,93632,6489,7461,870,6923,8022,863,1553,2800,555,36,30.7,32.9,5.3,320,1133,246,63,1414
Sevilla,35,38.0,14628,18599,786,267530,97170,6501,7367,882,6128,7177,854,1667,3111,536,30,31.7,32.7,-1.7,363,1207,286,134,1416
Valencia,29,38.0,12233,16255,753,217671,80185,5491,6436,853,5177,6140,843,1226,2710,452,24,27.0,24.2,-3.0,267,886,218,72,1162
Villarreal,32,38.0,15349,18637,824,278006,102363,6662,7409,899,6931,7828,885,1525,2599,587,47,40.5,40.4,6.5,365,1160,339,88,1558
