Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Notas
1,Real Madrid,38,29,8,1,87,26,61,95,250,68.8,35.4,33.4,88,72.061,Jude Bellingham - 19,Andriy Lunin,→ Champions League via colocação na liga
2,Barcelona,38,26,7,5,79,44,35,85,224,77.6,41.6,35.9,94,39.846,Robert Lewandowski - 19,Marc-André ter Stegen,→ Champions League via colocação na liga
3,Girona,38,25,6,7,85,46,39,81,213,70.8,54.3,16.5,43,12.52,Artem Dovbyk - 24,Paulo Gazzaniga,→ Champions League via colocação na liga
4,Atlético Madrid,38,24,4,10,70,43,27,76,200,62.4,39.5,23.0,60,59.121,Antoine Griezmann - 16,Jan Oblak,→ Champions League via colocação na liga
5,Athletic Club,38,19,11,8,61,37,24,68,179,52.7,41.3,11.4,30,46.112,Gorka Guruzeta - 14,Unai Simón,→ Europa League via vitória de campeonato
6,Real Sociedad,38,16,12,10,51,39,12,60,158,44.9,41.3,3.6,10,31.71,Mikel Oyarzabal - 9,Álex Remiro,→ Europa League via colocação na liga
7,Betis,38,14,15,9,48,45,3,57,150,43.9,50.2,-6.3,-17,51.259,Willian José - 10,Rui Silva,→ Europa Conference League via colocação na liga
8,Villarreal,38,14,11,13,65,65,0,53,139,55.6,58.7,-3.2,-8,17.957,Alexander Sørloth - 23,Filip Jørgensen,
9,Valencia,38,13,10,15,40,45,-5,49,129,43.1,47.6,-4.5,-12,43.42,Hugo Duro - 13,Giorgi Mamardashvili,
10,Alavés,38,12,10,16,36,46,-10,46,121,46.2,44.7,1.5,4,17.391,Samu Omorodion - 8,Antonio Sivera,
11,Osasuna,38,12,9,17,45,56,-11,45,118,40.5,49.9,-9.4,-25,19.703,Ante Budimir - 17,Sergio Herrera,
12,Getafe,38,10,13,15,42,54,-12,43,113,45.7,53.8,-8.1,-21,11.456,Borja Mayoral - 15,David Soria,
13,Celta Vigo,38,10,11,17,46,57,-11,41,108,50.7,54.6,-3.8,-10,20.039,Jørgen Strand Larsen - 13,Vicente Guaita,
14,Sevilla,38,10,11,17,48,54,-6,41,108,44.9,55.9,-11.0,-29,34.984,Youssef En-Nesyri - 16,Ørjan Nyland,
15,Mallorca,38,8,16,14,33,44,-11,40,105,40.5,42.9,-2.5,-6,17.767,Vedat Muriqi - 7,Predrag Rajković,
16,Las Palmas,38,10,10,18,33,47,-14,40,105,33.2,56.6,-23.5,-62,25.041,Kirian Rodríguez - 6,Álvaro Vallés,
17,Rayo Vallecano,38,8,14,16,29,48,-19,38,100,42.3,44.6,-2.3,-6,12.749,Álvaro García - 6,Stole Dimitrievski,
18,Cádiz,38,6,15,17,26,55,-29,33,87,36.0,52.3,-16.3,-43,18.016,Chris Ramos - 5,Jeremías Ledesma,Rebaixado
19,Almería,38,3,12,23,43,75,-32,21,55,48.7,61.6,-12.9,-34,12.893,Sergio Arribas - 9,Luís Maximiano,Rebaixado
20,Granada,38,4,9,25,38,79,-41,21,55,42.6,64.2,-21.6,-57,16.35,Myrto Uzuni - 11,Augusto Batalla,Rebaixado
