Equipe,# J,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PB,PT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,30,38.0,33,458,136,297,1205,358,7,22,177,15,3,7,46.2,40.7,9,-13.2,-10.7
Almería,35,38.0,42,478,163,341,1258,429,8,25,188,18,2,2,48.7,47.1,10,-6.7,-7.1
Athletic Club,27,38.0,59,458,163,356,1205,429,12,34,159,7,3,5,52.7,48.7,11,6.3,7.3
Atlético Madrid,27,38.0,68,475,197,415,1250,518,13,32,162,9,5,6,62.4,57.9,12,5.6,5.1
Barcelona,29,38.0,76,588,219,372,1547,576,12,32,165,21,6,7,77.6,72.1,13,-1.6,-2.1
Betis,35,38.0,46,489,150,307,1287,395,9,29,172,15,2,3,43.9,41.7,9,2.1,2.3
Cádiz,34,38.0,25,395,120,304,1039,316,6,18,184,21,3,3,36.0,33.6,9,-11.0,-11.6
Celta Vigo,31,38.0,45,467,151,323,1229,397,9,28,175,14,3,5,50.7,46.9,10,-5.7,-4.9
Getafe,33,38.0,42,446,150,336,1174,395,8,24,186,14,6,7,45.7,40.2,9,-3.7,-4.2
Girona,25,38.0,84,476,178,374,1253,468,16,43,164,13,7,8,70.8,64.6,14,13.2,12.4
Granada,40,38.0,35,394,123,312,1037,324,8,24,178,15,5,8,42.6,36.4,9,-7.6,-6.4
Las Palmas,29,38.0,33,386,120,311,1016,316,8,25,201,21,3,5,33.2,29.2,8,-0.2,0.8
Mallorca,25,38.0,33,415,131,316,1092,345,8,24,168,4,1,3,40.5,38.2,9,-7.5,-6.2
Osasuna,29,38.0,45,421,124,295,1108,326,10,33,179,14,4,5,40.5,36.6,9,4.5,4.4
Rayo Vallecano,26,38.0,29,487,160,329,1282,421,5,14,208,47,6,6,42.3,37.7,8,-13.3,-14.7
Real Madrid,27,38.0,85,593,242,408,1561,637,14,34,175,24,2,5,68.8,65.2,11,16.2,17.8
Real Sociedad,31,38.0,48,457,147,322,1203,387,10,30,178,24,4,4,44.9,41.8,9,3.1,2.2
Sevilla,35,38.0,46,487,160,329,1282,421,9,28,175,15,2,2,44.9,43.3,9,1.1,0.7
Valencia,29,38.0,39,368,123,334,968,324,8,25,187,16,8,9,43.1,36.2,10,-4.1,-5.2
Villarreal,32,38.0,64,462,163,353,1216,429,13,36,162,8,5,7,55.6,50.1,11,8.4,8.9
