Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos
Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,30,256,41.8,38,418,3.42,38.0,33,28,61,30,3,7,84,1,46.2,40.7,32.4,730,550,1260,87,74,161,79,153,122,85,207,107,192
Almería,35,256,46.4,38,418,3.42,38.0,42,25,67,40,2,2,93,6,48.7,47.1,34.2,814,590,1097,111,66,176,105,171,128,90,218,124,214
Athletic Club,27,273,49.8,38,418,3.42,38.0,59,41,100,56,3,5,80,5,52.7,48.7,37.0,858,735,1610,155,108,263,147,255,139,97,236,128,226
Atlético Madrid,27,292,50.8,38,418,3.42,38.0,68,48,116,63,5,6,89,5,62.4,57.9,47.4,1052,758,1597,179,126,305,166,292,164,125,289,152,277
Barcelona,29,260,64.3,38,418,3.42,38.0,76,55,131,70,6,7,87,2,77.6,72.1,57.4,1295,964,1925,200,145,345,184,329,204,151,355,190,341
Betis,35,278,50.4,38,418,3.42,38.0,46,31,77,44,2,3,87,3,43.9,41.7,32.7,744,676,1441,121,82,203,116,197,116,86,202,110,196
Cádiz,34,285,43.3,38,418,3.42,38.0,25,17,42,22,3,3,107,7,36.0,33.6,25.2,589,456,1017,66,45,111,58,103,95,66,161,88,155
Celta Vigo,31,267,46.1,38,418,3.42,38.0,45,35,80,42,3,5,66,5,50.7,46.9,38.2,851,660,1345,118,92,211,111,203,134,101,234,123,224
Getafe,33,273,44.8,38,418,3.42,38.0,42,27,69,36,6,7,135,10,45.7,40.2,27.9,680,439,1141,111,71,182,95,166,120,73,194,106,179
Girona,25,261,56.9,38,418,3.42,38.0,84,64,148,77,7,8,75,1,70.8,64.6,54.0,1186,894,1685,221,168,389,203,371,186,142,328,170,312
Granada,40,267,45.6,38,418,3.42,38.0,35,27,62,30,5,8,98,4,42.6,36.4,31.1,676,512,1044,92,71,163,79,150,112,82,194,96,178
Las Palmas,29,255,59.2,38,418,3.42,38.0,33,23,56,30,3,5,84,5,33.2,29.2,23.3,525,577,1596,87,61,147,79,139,87,61,149,77,138
Mallorca,25,287,45.0,38,418,3.42,38.0,33,27,60,32,1,3,105,4,40.5,38.2,30.8,690,498,1174,87,71,158,84,155,106,81,187,101,181
Osasuna,29,277,47.5,38,418,3.42,38.0,45,32,77,41,4,5,78,5,40.5,36.6,28.5,651,501,1322,118,84,203,108,192,107,75,182,96,171
Rayo Vallecano,26,294,49.4,38,418,3.42,38.0,29,12,41,23,6,6,108,5,42.3,37.7,24.6,623,506,1335,76,32,108,61,92,111,65,176,99,164
Real Madrid,27,274,59.2,38,418,3.42,38.0,85,66,151,83,2,5,69,4,68.8,65.2,52.5,1177,950,1935,224,174,397,218,392,181,138,319,171,310
Real Sociedad,31,258,55.3,38,418,3.42,38.0,48,36,84,44,4,4,98,2,44.9,41.8,30.7,725,685,1414,126,95,221,116,211,118,81,199,110,191
Sevilla,35,286,50.3,38,418,3.42,38.0,46,30,76,44,2,2,108,4,44.9,43.3,31.7,750,635,1416,121,79,200,116,195,118,83,201,114,197
Valencia,29,238,44.3,38,418,3.42,38.0,39,24,63,31,8,9,64,5,43.1,36.2,27.0,632,522,1162,103,63,166,82,145,113,71,185,95,166
Villarreal,32,279,49.6,38,418,3.42,38.0,64,47,111,59,5,7,110,8,55.6,50.1,40.5,906,654,1558,168,124,292,155,279,146,107,253,132,238
