Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Gols,Gols,Gols,Gols,Gols,Esperado,Esperado,Esperado,Esperado,Lançados,Lançados,Lançados,Passes,Passes,Passes,Passes,Tiro de meta,Tiro de meta,Tiro de meta,Cruzamentos,Cruzamentos,Cruzamentos,Sweeper,Sweeper,Sweeper
Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
Augsburg,2,34.0,60,7,0,12,2,560,26,-20,-6,185,490,378,1172,98,325,345,264,413,374,520,30,58,52,153,116.0
Bayern Munich,3,34.0,45,3,2,3,0,410,30,-40,-12,99,242,409,1072,170,204,331,216,106,209,341,14,41,48,141,
Bochum,2,34.0,74,9,0,9,4,623,28,-77,-23,450,1084,415,1497,91,635,513,258,519,412,523,35,67,104,306,77.0
Darmstadt 98,2,34.0,86,1,2,9,2,743,34,-97,-29,278,690,403,1333,195,368,360,310,645,493,504,27,54,60,176,191.0
Dortmund,2,34.0,43,5,0,9,2,446,28,36,10,133,349,381,1267,135,208,283,269,316,307,466,15,32,24,71,145.0
Eint Frankfurt,2,34.0,50,9,0,4,0,497,27,-3,-1,106,390,272,976,152,304,344,277,336,314,485,20,41,34,100,157.0
Freiburg,1,34.0,58,3,1,5,1,500,30,-70,-21,193,568,340,1103,160,368,342,286,566,452,485,31,64,30,88,136.0
Gladbach,2,34.0,67,6,0,7,0,584,26,-86,-25,144,405,356,1059,177,287,323,266,380,336,538,28,52,34,100,153.0
Heidenheim,1,34.0,55,7,0,7,3,536,27,16,5,249,595,418,1162,167,353,359,318,582,460,495,24,48,17,50,132.0
Hoffenheim,1,34.0,66,2,3,9,1,686,31,36,11,208,529,393,1112,165,352,327,296,466,396,545,31,57,73,215,167.0
Köln,1,34.0,60,3,0,10,0,620,36,20,6,135,372,363,1037,101,314,314,260,177,239,504,14,28,21,62,134.0
Leverkusen,2,34.0,24,0,0,4,0,279,27,39,11,71,202,351,715,171,203,221,183,311,312,316,28,89,40,118,150.0
Mainz 05,2,34.0,51,3,2,2,1,517,34,17,5,198,570,347,985,160,466,347,207,536,436,431,46,107,50,147,113.0
RB Leipzig,2,34.0,39,4,1,8,1,356,27,-24,-7,79,234,338,1189,147,142,257,237,274,308,426,23,54,51,150,176.0
Stuttgart,2,34.0,39,3,0,6,3,358,26,-2,-1,148,352,420,1180,147,261,310,214,206,234,396,31,78,62,182,166.0
Union Berlin,2,34.0,58,5,2,7,1,529,28,-41,-12,202,535,378,1081,178,364,341,269,524,410,552,54,98,37,109,50.0
Werder Bremen,2,34.0,54,6,0,5,1,541,30,11,3,176,415,424,1069,198,323,342,298,235,286,516,41,79,39,115,144.0
Wolfsburg,2,34.0,56,2,2,4,3,478,31,-52,-15,201,494,407,989,157,377,328,258,469,381,462,26,56,41,121,121.0
