Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Augsburg,29,34.0,528,319,234,222,72,237,492,482,255,439,133,306,295,823,727,9
Bayern Munich,30,34.0,520,323,227,191,102,245,510,480,265,378,81,297,288,808,473,18
Bochum,25,34.0,603,366,272,253,78,294,574,512,280,460,142,318,308,911,768,9
Darmstadt 98,32,34.0,560,323,303,197,60,285,583,489,298,400,137,263,317,877,707,19
Dortmund,32,34.0,548,356,297,201,50,292,557,524,265,431,121,310,251,799,628,12
Eint Frankfurt,34,34.0,602,359,282,240,80,293,548,535,255,424,99,325,302,904,704,12
Freiburg,25,34.0,546,319,303,175,68,227,463,490,236,436,149,287,272,818,725,7
Gladbach,27,34.0,582,337,291,247,44,287,534,537,247,465,168,297,333,915,860,15
Heidenheim,22,34.0,601,352,311,225,65,275,591,465,316,463,129,334,302,903,783,5
Hoffenheim,30,34.0,517,304,286,185,46,259,541,479,282,413,143,270,357,874,790,12
Köln,26,34.0,617,375,330,234,53,342,659,519,317,506,154,352,305,922,766,9
Leverkusen,24,34.0,458,277,183,187,88,197,403,489,206,330,72,258,224,682,460,9
Mainz 05,30,34.0,572,328,256,253,63,276,526,525,250,442,117,325,346,918,704,3
RB Leipzig,26,34.0,538,317,236,240,62,244,487,501,243,444,97,347,240,778,630,12
Stuttgart,27,34.0,537,316,222,239,76,253,513,493,260,378,109,269,269,806,619,12
Union Berlin,30,34.0,549,352,242,240,67,254,504,504,250,480,137,343,305,854,861,9
Werder Bremen,30,34.0,604,351,303,239,62,312,609,512,297,434,153,281,284,888,785,9
Wolfsburg,28,34.0,550,303,272,201,77,262,527,497,265,414,99,315,268,818,801,8
