Unnamed: 0_level_0,Unnamed: 1_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis
Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Augsburg,2,34,34,3.06,34.0,60,176,183,123,710,10,9,15,3,88,10,7,2,1,222.0
Bayern Munich,3,34,34,3.06,34.0,45,132,124,78,661,23,3,8,11,324,4,3,1,0,250.0
Bochum,2,34,34,3.06,34.0,74,218,189,117,656,7,12,15,4,118,11,9,2,0,182.0
Darmstadt 98,2,34,34,3.06,34.0,86,253,215,130,605,3,8,23,3,88,2,1,1,0,500.0
Dortmund,2,34,34,3.06,34.0,43,126,145,103,738,18,9,7,10,294,6,5,1,0,167.0
Eint Frankfurt,2,34,34,3.06,34.0,50,147,146,94,719,11,14,9,7,206,11,9,2,0,182.0
Freiburg,1,34,34,3.06,34.0,58,171,158,99,652,11,9,14,10,294,5,3,2,0,400.0
Gladbach,2,34,34,3.06,34.0,67,197,207,140,705,7,13,14,4,118,6,6,0,0,0.0
Heidenheim,1,34,34,3.06,34.0,55,162,174,121,724,10,12,12,6,176,10,7,1,2,125.0
Hoffenheim,1,34,34,3.06,34.0,66,194,211,143,697,13,7,14,2,59,5,2,3,0,600.0
Köln,1,34,34,3.06,34.0,60,176,168,108,661,5,12,17,4,118,3,3,0,0,0.0
Leverkusen,2,34,34,3.06,34.0,24,71,105,81,771,28,6,0,16,471,0,0,0,0,
Mainz 05,2,34,34,3.06,34.0,51,150,145,95,669,7,14,13,8,235,4,3,0,1,0.0
RB Leipzig,2,34,34,3.06,34.0,39,115,117,79,701,19,8,7,10,294,5,4,0,1,0.0
Stuttgart,2,34,34,3.06,34.0,39,115,129,93,721,23,4,7,12,353,3,3,0,0,0.0
Union Berlin,2,34,34,3.06,34.0,58,171,168,109,685,9,6,19,7,206,7,5,2,0,286.0
Werder Bremen,2,34,34,3.06,34.0,54,159,166,113,711,11,9,14,7,206,6,6,0,0,0.0
Wolfsburg,2,34,34,3.06,34.0,56,165,151,98,642,10,7,17,6,176,3,2,0,1,0.0
