Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,GCA,GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA
Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
Augsburg,29,34.0,726,2135,503,78,35,58,39,13,78,229,58,6,2,8,4,0
Bayern Munich,30,34.0,1156,3400,875,86,69,72,38,16,166,488,126,9,11,11,6,3
Bochum,25,34.0,884,2600,561,134,38,81,55,15,72,212,43,8,5,9,6,1
Darmstadt 98,32,34.0,723,2126,522,68,36,48,32,17,50,147,38,3,1,4,3,1
Dortmund,32,34.0,909,2674,668,68,56,62,42,13,121,356,84,8,7,8,10,4
Eint Frankfurt,34,34.0,688,2024,493,63,44,48,31,9,81,238,63,2,3,9,3,1
Freiburg,25,34.0,714,2100,538,55,25,51,36,9,77,226,51,5,1,10,8,2
Gladbach,27,34.0,806,2371,572,85,47,59,29,14,98,288,71,9,4,8,4,2
Heidenheim,22,34.0,666,1959,442,95,30,54,34,11,81,238,57,9,4,5,5,1
Hoffenheim,30,34.0,813,2391,608,68,38,48,38,13,110,324,78,5,11,8,6,2
Köln,26,34.0,780,2294,551,76,36,59,47,11,45,132,22,3,3,10,7,0
Leverkusen,24,34.0,1117,3285,854,74,77,54,47,11,159,468,115,12,13,9,10,0
Mainz 05,30,34.0,816,2400,531,104,48,60,61,12,65,191,46,7,4,5,2,1
RB Leipzig,26,34.0,934,2747,691,70,61,57,43,12,126,371,97,6,8,9,6,0
Stuttgart,27,34.0,960,2824,738,52,65,60,27,18,138,406,108,2,14,9,4,1
Union Berlin,30,34.0,702,2065,484,87,36,51,29,15,60,176,38,6,7,4,4,1
Werder Bremen,30,34.0,721,2121,550,56,33,36,36,10,82,241,61,5,3,5,8,0
Wolfsburg,28,34.0,724,2129,544,56,32,50,38,4,73,215,58,1,3,8,3,0
