Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Disputas Aéreas,Disputas Aéreas,Disputas Aéreas
Equipe,# J,90s,CrtsA,CrtV,2CrdY,Fts,FltsP,Desativado,Crz,Crts,TklW,Pênaltis convertidos,PKcon,OG,Recuperação,Ganhos,Perdas,Ganhos%
Augsburg,29,34.0,71,3,1,454,338,81,631,295,319,5,10,2,1669,587,602,494
Bayern Munich,30,34.0,47,2,1,304,306,60,655,288,323,2,4,0,1768,410,319,562
Bochum,25,34.0,97,2,0,446,409,83,649,308,366,4,11,4,1808,815,816,500
Darmstadt 98,32,34.0,83,4,0,429,351,57,514,317,323,2,2,2,1502,510,569,473
Dortmund,32,34.0,59,4,2,315,391,44,522,251,356,5,6,2,1763,390,426,478
Eint Frankfurt,34,34.0,70,5,4,355,318,51,557,302,359,2,11,0,1792,477,525,476
Freiburg,25,34.0,64,4,1,364,376,52,593,272,319,7,5,1,1633,625,628,499
Gladbach,27,34.0,66,2,1,337,372,53,574,333,337,4,6,0,1701,485,478,504
Heidenheim,22,34.0,54,1,0,442,325,38,663,302,352,1,10,3,1741,690,612,530
Hoffenheim,30,34.0,86,5,4,339,366,52,603,357,304,5,5,1,1715,515,515,500
Köln,26,34.0,71,4,3,418,364,53,779,305,375,5,3,0,1689,557,533,511
Leverkusen,24,34.0,59,0,0,305,342,73,586,224,277,7,0,0,1847,363,316,535
Mainz 05,30,34.0,99,3,1,473,410,59,633,346,328,4,4,1,1786,665,761,466
RB Leipzig,26,34.0,61,1,1,354,388,67,608,240,317,7,5,1,1743,426,394,520
Stuttgart,27,34.0,56,1,1,329,373,50,537,269,316,7,3,3,1754,430,429,501
Union Berlin,30,34.0,67,7,3,402,339,61,662,305,352,3,7,1,1705,620,619,500
Werder Bremen,30,34.0,73,2,0,396,396,70,543,284,351,5,6,1,1758,508,575,469
Wolfsburg,28,34.0,86,5,2,415,412,41,593,268,303,3,3,3,1580,512,467,523
