Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Augsburg,29,34.0,10545,14262,739,199672,80511,4147,4989,831,4851,5902,822,1272,2491,511,35,27.7,37.7,7.3,299,919,284,89,1137
Bayern Munich,30,34.0,19987,22946,871,340799,109694,9254,10094,917,8928,9742,916,1476,2208,668,71,65.9,72.8,5.1,506,1563,458,86,1941
Bochum,25,34.0,9786,14203,689,185281,85808,4234,5278,802,3854,5032,766,1393,2934,475,30,30.4,33.0,-0.4,371,902,265,85,1151
Darmstadt 98,32,34.0,11807,15336,770,223927,86971,4830,5582,865,5247,6139,855,1494,2813,531,21,22.8,28.9,-1.8,302,873,226,65,1083
Dortmund,32,34.0,17191,20445,841,300426,100507,7696,8552,900,7352,8202,896,1651,2584,639,49,45.6,48.0,3.4,389,1144,301,46,1452
Eint Frankfurt,34,34.0,15017,18809,798,260025,91225,6582,7496,878,6907,7959,868,1204,2409,500,36,34.1,38.5,1.9,292,1007,276,60,1305
Freiburg,25,34.0,12337,16023,770,223388,83596,5228,6120,854,5515,6445,856,1296,2579,503,32,32.4,34.7,-0.4,296,936,246,81,1208
Gladbach,27,34.0,13544,16946,799,232267,84618,6222,7073,880,5785,6704,863,1162,2210,526,43,35.5,37.3,7.5,374,801,261,83,1227
Heidenheim,22,34.0,10264,14339,716,206040,85936,3699,4713,785,4741,5858,809,1578,2863,551,34,27.5,30.0,6.5,279,730,201,73,983
Hoffenheim,30,34.0,13457,17038,790,240505,94518,5931,6757,878,5840,6864,851,1372,2563,535,47,39.9,42.6,7.1,346,1069,292,76,1359
Köln,26,34.0,11704,15411,759,209861,79468,4930,5779,853,5377,6369,844,1146,2378,482,17,27.2,30.9,-10.2,319,821,217,85,1086
Leverkusen,24,34.0,21192,24301,872,322890,106373,12041,12986,927,7316,8125,900,1249,1977,632,71,55.2,66.8,15.8,490,1716,457,72,1997
Mainz 05,30,34.0,10974,15120,726,201446,81453,4718,5730,823,4623,5826,794,1323,2702,490,31,32.0,35.2,-1.0,346,939,248,78,1169
RB Leipzig,26,34.0,16254,19590,830,282017,96743,6994,7859,890,7624,8554,891,1287,2207,583,53,47.7,52.2,5.3,404,1185,334,75,1541
Stuttgart,27,34.0,19201,22456,855,312129,108823,9516,10371,918,7721,8581,900,1352,2320,583,60,53.3,58.8,6.7,413,1338,356,80,1618
Union Berlin,30,34.0,11004,14784,744,204399,86273,4534,5371,844,4773,5802,823,1356,2658,510,23,25.0,28.4,-2.0,300,859,233,80,1146
Werder Bremen,30,34.0,12821,16418,781,237961,91530,5250,6169,851,5760,6739,855,1549,2676,579,33,35.6,38.2,-2.6,321,882,276,83,1172
Wolfsburg,28,34.0,13092,16624,788,232194,87396,5883,6706,877,5603,6605,848,1288,2422,532,27,28.5,38.6,-1.5,310,954,263,67,1235
