Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Contatos,Contatos,Contatos,Contatos,Contatos,Contatos,Contatos,Dribles,Dribles,Dribles,Dribles,Dribles,Conduções,Conduções,Conduções,Conduções,Conduções,Conduções,Conduções,Conduções,Recepção,Recepção
Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
Augsburg,29,43.9,34.0,18129,2132,6226,7677,4413,795,18122,531,235,443,255,480,9497,50634,24795,462,313,91,533,236,10394,1122
Bayern Munich,30,61.3,34.0,26644,2111,7127,12412,7367,1214,26639,907,481,530,374,412,16452,93322,49960,944,704,276,468,357,19847,1926
Bochum,25,46.6,34.0,18361,2175,5905,8082,4546,787,18357,436,186,427,209,479,8480,42524,20687,400,292,91,494,280,9653,1140
Darmstadt 98,32,45.7,34.0,19009,2407,7114,8147,3897,566,19006,440,192,436,220,500,9943,51709,26088,437,310,99,470,230,11700,1073
Dortmund,32,57.8,34.0,24316,2558,8082,11083,5366,901,24310,712,321,451,312,438,14643,79408,41055,770,565,229,532,329,17002,1436
Eint Frankfurt,34,52.1,34.0,22762,2453,7846,10620,4523,815,22759,640,281,439,326,509,13004,64135,31792,574,391,176,523,298,14898,1294
Freiburg,25,46.6,34.0,19706,2362,6698,9055,4130,653,19697,518,221,427,237,458,10673,57954,28611,468,383,94,452,240,12176,1189
Gladbach,27,46.8,34.0,20954,2559,7900,9058,4189,720,20948,550,237,431,261,475,12077,60157,30940,598,435,153,429,320,13427,1217
Heidenheim,22,42.5,34.0,18405,2361,6987,7570,4058,637,18402,530,223,421,266,502,9120,52754,26313,510,361,90,549,279,10152,976
Hoffenheim,30,49.5,34.0,20983,2561,6920,9475,4742,752,20977,542,220,406,267,493,11630,59332,30284,538,401,144,477,241,13325,1351
Köln,26,46.5,34.0,19356,2274,7028,8252,4318,668,19350,524,246,469,236,450,10380,57764,29156,618,439,141,472,292,11521,1081
Leverkusen,24,61.8,34.0,27830,1703,5847,14080,8122,1168,27822,727,348,479,328,451,16677,86657,46901,888,676,242,483,333,21041,1979
Mainz 05,30,46.1,34.0,19212,2023,6417,8450,4536,807,19207,601,269,448,269,448,9023,46790,22024,480,314,135,537,285,10854,1155
RB Leipzig,26,55.3,34.0,23320,1985,6900,11365,5276,918,23313,633,322,509,238,376,14158,71290,37973,714,543,177,488,332,16170,1530
Stuttgart,27,59.9,34.0,26204,2322,7298,13251,5858,898,26196,673,334,496,279,415,15113,75798,37881,693,545,191,561,329,18993,1602
Union Berlin,30,42.9,34.0,18929,2344,7065,7881,4179,687,18923,506,217,429,260,514,9123,47015,23793,389,297,112,549,293,10894,1132
Werder Bremen,30,46.8,34.0,20347,2574,7617,9015,3923,672,20341,556,253,455,262,471,11241,58514,29365,492,367,108,541,263,12715,1163
Wolfsburg,28,48.0,34.0,20363,2187,6900,9104,4524,655,20360,481,202,420,235,489,11147,54291,25908,441,329,105,521,261,12976,1226
