,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro
0,1,Leverkusen,34,28,6,0,89,24,65,90,265,73.6,29.9,43.7,129,29.994,Victor Boniface - 14,Lukáš Hrádecký
1,2,Stuttgart,34,23,4,7,78,39,39,73,215,70.9,38.1,32.7,96,55.089,Serhou Guirassy - 28,Alexander Nübel
2,3,Bayern Munich,34,23,3,8,94,45,49,72,212,85.2,32.1,53.0,156,75.0,Harry Kane - 36,Manuel Neuer
3,4,RB Leipzig,34,19,8,7,77,39,38,65,191,65.6,40.1,25.5,75,44.921,Loïs Openda - 24,Janis Blaswich
4,5,Dortmund,34,18,9,7,68,43,25,63,185,63.5,52.0,11.5,34,81.305,Donyell Malen - 13,Gregor Kobel
5,6,Eint Frankfurt,34,11,14,9,51,50,1,47,138,46.2,52.1,-5.9,-17,56.9,Omar Marmoush - 12,Kevin Trapp
6,7,Hoffenheim,34,13,7,14,66,66,0,46,135,53.6,60.8,-7.2,-21,24.559,Maximilian Beier - 16,Oliver Baumann
7,8,Heidenheim,34,10,12,12,50,55,-5,42,124,39.4,61.8,-22.5,-66,15.0,Tim Kleindienst - 12,Kevin Müller
8,9,Werder Bremen,34,11,9,14,48,54,-6,42,124,46.9,56.5,-9.6,-28,41.721,Marvin Ducksch - 12,Michael Zetterer
9,10,Freiburg,34,11,9,14,45,58,-13,42,124,49.4,50.5,-1.1,-3,34.196,Vincenzo Grifo - 8,Noah Atubolu
10,11,Augsburg,34,10,9,15,50,60,-10,39,115,46.1,57.4,-11.3,-33,29.712,Ermedin Demirović - 15,Finn Dahmen
11,12,Wolfsburg,34,10,7,17,41,56,-15,37,109,39.2,44.7,-5.5,-16,25.316,Jonas Wind - 11,Koen Casteels
12,13,Mainz 05,34,7,14,13,39,51,-12,35,103,44.6,44.5,0.2,1,30.69,Jonathan Burkardt - 8,Robin Zentner
13,14,Gladbach,34,7,13,14,56,67,-11,34,100,46.5,54.2,-7.8,-23,51.371,Robin Hack - 10,Moritz Nicolas
14,15,Union Berlin,34,9,6,19,33,58,-25,33,97,40.1,50.5,-10.4,-31,21.84,Robin Gosens - 6,Frederik Rønnow
15,16,Bochum,34,7,12,15,42,74,-32,33,97,44.5,63.9,-19.3,-57,25.393,Kevin Stöger - 7,Manuel Riemann
16,17,Köln,34,5,12,17,28,60,-32,27,79,39.3,64.6,-25.3,-74,49.829,Davie Selke - 6,Marvin Schwäbe
17,18,Darmstadt 98,34,3,8,23,30,86,-56,17,50,32.3,73.1,-40.8,-120,17.73,Tim Skarke - 8,Marcel Schuhen
