Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos
Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
Augsburg,29,260,43.9,34,374,3.06,34.0,49,35,84,44,5,7,71,3,46.1,40.7,27.7,684,462,1137,144,103,247,129,232,136,81,217,120,201
Bayern Munich,30,274,61.3,34,374,3.06,34.0,93,71,164,88,5,5,47,2,85.2,81.3,65.9,1473,944,1941,274,209,482,259,468,250,194,444,239,433
Bochum,25,291,46.6,34,374,3.06,34.0,41,30,71,37,4,4,97,2,44.5,41.4,30.4,718,400,1151,121,88,209,109,197,131,89,220,122,211
Darmstadt 98,32,271,45.7,34,374,3.06,34.0,28,21,49,25,3,3,83,4,32.3,30.0,22.8,528,437,1083,82,62,144,74,135,95,67,162,88,155
Dortmund,32,268,57.8,34,374,3.06,34.0,68,49,117,62,6,6,59,4,63.5,58.8,45.6,1044,770,1452,200,144,344,182,326,187,134,321,173,307
Eint Frankfurt,34,253,52.1,34,374,3.06,34.0,48,36,84,46,2,3,70,5,46.2,44.4,34.1,785,574,1305,141,106,247,135,241,136,100,236,131,231
Freiburg,25,270,46.6,34,374,3.06,34.0,43,32,75,36,7,9,64,4,49.4,42.4,32.4,748,468,1208,126,94,221,106,200,145,95,241,125,220
Gladbach,27,254,46.8,34,374,3.06,34.0,55,43,98,50,5,6,66,2,46.5,41.8,35.5,774,598,1227,162,126,288,147,274,137,105,241,123,228
Heidenheim,22,267,42.5,34,374,3.06,34.0,46,34,80,44,2,3,54,1,39.4,37.0,27.5,645,510,983,135,100,235,129,229,116,81,197,109,190
Hoffenheim,30,277,49.5,34,374,3.06,34.0,65,47,112,59,6,6,86,5,53.6,49.0,39.9,889,538,1359,191,138,329,174,312,158,117,275,144,262
Köln,26,254,46.5,34,374,3.06,34.0,28,17,45,23,5,6,71,4,39.3,34.7,27.2,619,618,1086,82,50,132,68,118,116,80,196,102,182
Leverkusen,24,262,61.8,34,374,3.06,34.0,87,71,158,79,8,8,59,0,73.6,67.6,55.2,1228,888,1997,256,209,465,232,441,216,162,379,199,361
Mainz 05,30,267,46.1,34,374,3.06,34.0,38,31,69,37,1,5,99,3,44.6,40.7,32.0,727,480,1169,112,91,203,109,200,131,94,225,120,214
RB Leipzig,26,256,55.3,34,374,3.06,34.0,74,53,127,70,4,7,61,1,65.6,60.2,47.7,1079,714,1541,218,156,374,206,362,193,140,333,177,317
Stuttgart,27,250,59.9,34,374,3.06,34.0,78,60,138,73,5,8,56,1,70.9,64.6,53.3,1179,693,1618,229,176,406,215,391,208,157,365,190,347
Union Berlin,30,281,42.9,34,374,3.06,34.0,33,23,56,30,3,6,67,7,40.1,35.3,25.0,603,389,1146,97,68,165,88,156,118,74,191,104,177
Werder Bremen,30,270,46.8,34,374,3.06,34.0,45,33,78,40,5,6,73,2,46.9,42.0,35.6,776,492,1172,132,97,229,118,215,138,105,243,124,228
Wolfsburg,28,256,48.0,34,374,3.06,34.0,41,27,68,39,2,3,86,5,39.2,36.7,28.5,652,441,1235,121,79,200,115,194,115,84,199,108,192
