Unnamed: 0_level_0,Unnamed: 1_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis
Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Atalanta,3,38,38,3.42,38.0,42,111,142,99,746,21,6,11,15,395,9,6,2,1,250
Bologna,3,38,38,3.42,38.0,32,84,125,91,768,18,14,6,17,447,7,3,2,2,400
Cagliari,3,38,38,3.42,38.0,68,179,157,92,592,8,12,18,5,132,5,4,0,1,0
Empoli,3,38,38,3.42,38.0,54,142,185,130,741,9,9,20,9,237,8,6,2,0,250
Fiorentina,3,38,38,3.42,38.0,46,121,148,101,743,17,9,12,8,211,9,8,1,0,111
Frosinone,2,38,38,3.42,38.0,69,182,180,112,644,8,11,19,7,184,8,5,1,2,167
Genoa,3,38,38,3.42,38.0,45,118,139,94,698,12,13,13,9,237,4,3,1,0,250
Hellas Verona,2,38,38,3.42,38.0,51,134,163,113,699,9,11,18,8,211,2,2,0,0,0
Inter,3,38,38,3.42,38.0,22,58,113,90,823,29,7,2,21,553,4,2,1,1,333
Juventus,3,38,38,3.42,38.0,31,82,116,86,750,19,14,5,17,447,3,2,1,0,333
Lazio,2,38,38,3.42,38.0,39,103,148,109,750,18,7,13,13,342,3,2,0,1,0
Lecce,1,38,38,3.42,38.0,54,142,173,119,717,8,14,16,7,184,6,5,1,0,167
Milan,4,38,38,3.419,38.0,49,129,163,115,748,22,9,7,13,342,8,8,0,0,0
Monza,2,38,38,3.42,38.0,51,134,191,138,770,11,12,15,12,316,9,7,2,0,222
Napoli,3,38,38,3.42,38.0,48,126,128,78,641,13,14,11,7,184,4,2,2,0,500
Roma,2,38,38,3.42,38.0,46,121,151,107,715,18,9,11,11,289,5,3,1,1,250
Salernitana,3,38,38,3.42,38.0,81,213,207,128,657,2,11,25,2,53,10,10,0,0,0
Sassuolo,2,38,38,3.42,38.0,75,197,173,101,613,7,9,22,3,79,11,8,1,2,111
Torino,2,38,38,3.42,38.0,36,95,143,107,797,13,14,11,18,474,7,7,0,0,0
Udinese,2,38,38,3.42,38.0,53,139,157,105,720,6,19,13,9,237,9,9,0,0,0
