,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Atalanta,29,38.0,16051,19961,804,281418,100413,7280,8321,875,6956,7989,871,1466,2642,555,57,43.9,38.8,13.1,437,1223,381,114,1754
1,Bologna,28,38.0,19125,22504,850,315900,100821,9408,10260,917,7744,8573,903,1415,2441,580,32,32.1,25.8,-0.1,356,1267,256,55,1453
2,Cagliari,29,38.0,10731,14709,730,205047,81881,4427,5206,850,4662,5786,806,1441,2966,486,30,29.1,25.0,0.9,330,863,260,125,1109
3,Empoli,34,38.0,11571,15348,754,210427,82600,4961,5759,861,5094,6059,841,1240,2680,463,19,25.8,24.1,-6.8,297,827,206,74,1056
4,Fiorentina,30,38.0,16180,19975,810,306932,103541,6368,7193,885,7511,8557,878,2004,3302,607,41,35.3,39.0,5.7,395,1327,374,103,1656
5,Frosinone,34,38.0,13740,17545,783,226596,87424,6769,7660,884,5457,6523,837,1085,2330,466,29,30.2,24.8,-1.2,350,962,279,69,1326
6,Genoa,34,38.0,12053,15765,765,219285,85245,5128,5934,864,5142,6121,840,1379,2710,509,27,22.8,24.0,4.2,300,865,223,75,1079
7,Hellas Verona,36,38.0,10639,14710,723,211949,86317,4116,5023,819,4666,5727,815,1618,3113,520,29,27.2,22.8,1.8,335,958,216,92,1122
8,Inter,27,38.0,19136,22447,852,332897,109819,8631,9446,914,8159,9056,901,1839,2800,657,60,55.6,50.7,4.4,440,1288,437,116,1620
9,Juventus,31,38.0,14757,18079,816,274823,94184,5963,6728,886,6820,7755,879,1727,2762,625,37,39.6,37.0,-2.6,417,1191,296,105,1473
10,Lazio,22,38.0,17462,21071,829,293219,101247,8440,9314,906,6970,7966,875,1557,2657,586,30,32.9,31.6,-2.9,331,1270,316,62,1528
11,Lecce,26,38.0,11742,15397,763,220284,81904,4700,5530,850,5225,6158,848,1487,2846,522,23,30.6,23.1,-7.6,378,895,211,87,1183
12,Milan,35,38.0,17656,20741,851,304243,102555,7905,8708,908,7904,8738,905,1438,2341,614,56,46.0,41.1,10.0,430,1213,338,94,1569
13,Monza,31,38.0,16734,19870,842,310386,98194,6742,7422,908,7969,8830,902,1771,2837,624,29,27.8,27.5,1.2,348,1087,251,92,1248
14,Napoli,29,38.0,19517,22942,851,335198,107611,9095,9898,919,8105,9121,889,1832,2884,635,36,42.9,38.4,-6.9,497,1507,398,84,1758
15,Roma,30,38.0,17066,20523,832,298380,99682,7660,8446,907,7615,8620,883,1474,2569,574,44,34.4,31.5,9.6,363,1217,315,87,1469
16,Salernitana,39,38.0,12124,15920,762,210672,79322,5624,6417,876,4851,5890,824,1233,2585,477,25,22.4,18.6,2.6,310,885,207,74,1119
17,Sassuolo,30,38.0,11978,15683,764,221423,83557,4986,5788,861,5295,6301,840,1385,2776,499,28,25.9,25.0,2.1,340,995,248,60,1301
18,Torino,30,38.0,14578,18229,800,257125,90455,6446,7271,887,6372,7364,865,1345,2609,516,29,30.1,29.2,-1.1,338,1028,277,101,1333
19,Udinese,32,38.0,9976,13300,750,185378,75887,4317,5066,852,4174,5111,817,1234,2396,515,23,28.0,23.8,-5.0,329,874,186,76,1022
