Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Padrão,Esperado,Esperado,Esperado,Esperado,Esperado
Equipe,# J,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PB,PT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,29,38.0,72,539,197,365,1418,518,12,34,160,6,5,5,57.8,53.9,10,14.2,13.1
Bologna,28,38.0,52,472,159,337,1242,418,10,30,180,19,4,5,47.9,44.0,10,4.1,4.0
Cagliari,29,38.0,41,442,127,287,1163,334,8,29,176,15,4,6,42.9,38.4,9,-1.9,-1.4
Empoli,34,38.0,26,413,112,271,1087,295,5,19,189,22,5,5,36.2,32.4,8,-10.2,-11.4
Fiorentina,30,38.0,60,515,171,332,1355,450,11,33,175,13,4,8,51.7,45.4,9,8.3,10.6
Frosinone,34,38.0,44,460,147,320,1211,387,8,24,192,18,8,10,45.8,37.9,8,-1.8,-1.9
Genoa,34,38.0,43,397,119,300,1045,313,10,32,174,21,5,6,35.7,31.0,8,7.3,7.0
Hellas Verona,36,38.0,38,435,146,336,1145,384,8,24,189,13,3,7,38.0,32.4,8,0.0,2.6
Inter,27,38.0,87,580,196,338,1526,516,13,38,168,19,13,14,78.2,67.4,12,8.8,6.6
Juventus,31,38.0,52,531,146,275,1397,384,9,34,169,19,3,5,54.6,50.6,10,-2.6,-1.6
Lazio,22,38.0,46,436,135,310,1147,355,10,31,180,15,4,4,46.5,43.4,10,-0.5,-1.4
Lecce,26,38.0,30,503,147,292,1324,387,5,18,188,11,3,5,43.1,39.2,8,-13.1,-12.2
Milan,35,38.0,76,554,202,365,1458,532,13,35,168,9,6,8,66.2,60.0,11,9.8,10.0
Monza,31,38.0,38,451,123,273,1187,324,8,28,178,15,4,5,39.5,35.9,8,-1.5,-1.9
Napoli,29,38.0,54,638,196,307,1679,516,8,24,176,18,6,10,61.4,53.3,9,-7.4,-5.3
Roma,30,38.0,64,464,142,306,1221,374,11,37,179,16,11,12,51.4,42.3,9,12.6,10.7
Salernitana,39,38.0,32,398,118,296,1047,311,8,25,191,11,2,2,30.3,28.7,7,1.7,1.3
Sassuolo,30,38.0,42,453,144,318,1192,379,8,24,192,18,7,8,39.8,33.8,8,2.2,1.2
Torino,30,38.0,35,432,121,280,1137,318,8,27,171,15,2,2,37.7,36.1,9,-2.7,-3.1
Udinese,32,38.0,36,457,134,293,1203,353,7,25,188,21,3,4,39.1,36.8,8,-3.1,-3.8
