Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos
Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,29,263,51.0,38,418,3.42,38.0,72,57,129,67,5,5,76,1,57.8,53.9,43.9,978,715,1754,189,150,339,176,326,152,116,268,142,257
Bologna,28,252,58.1,38,418,3.42,38.0,52,32,84,48,4,5,85,2,47.9,44.0,32.1,761,660,1453,137,84,221,126,211,126,84,211,116,200
Cagliari,29,261,42.1,38,418,3.42,38.0,41,30,71,37,4,6,77,4,42.9,38.4,29.1,675,529,1109,108,79,187,97,176,113,77,190,101,178
Empoli,34,260,44.0,38,418,3.42,38.0,26,19,45,21,5,5,88,1,36.2,32.4,25.8,583,524,1056,68,50,118,55,105,95,68,163,85,153
Fiorentina,30,270,57.4,38,418,3.42,38.0,60,41,101,56,4,8,80,0,51.7,45.4,35.3,807,621,1656,158,108,266,147,255,136,93,229,119,212
Frosinone,34,243,49.7,38,418,3.42,38.0,44,29,73,36,8,10,68,2,45.8,37.9,30.2,681,563,1326,116,76,192,95,171,120,79,200,100,179
Genoa,34,267,44.1,38,418,3.42,38.0,43,27,70,38,5,6,79,3,35.7,31.0,22.8,538,468,1079,113,71,184,100,171,94,60,154,82,142
Hellas Verona,36,257,44.4,38,418,3.42,38.0,38,29,67,35,3,7,88,6,38.0,32.4,27.2,596,539,1122,100,76,176,92,168,100,72,172,85,157
Inter,27,291,57.1,38,418,3.42,38.0,87,60,147,74,13,14,46,1,78.2,67.4,55.6,1230,720,1620,229,158,387,195,353,206,146,352,177,324
Juventus,31,265,48.5,38,418,3.42,38.0,52,37,89,49,3,5,87,2,54.6,50.6,39.6,902,709,1473,137,97,234,129,226,144,104,248,133,237
Lazio,22,282,53.3,38,418,3.42,38.0,46,30,76,42,4,4,101,5,46.5,43.4,32.9,764,716,1528,121,79,200,111,189,122,87,209,114,201
Lecce,26,249,44.9,38,418,3.42,38.0,30,23,53,27,3,5,89,5,43.1,39.2,30.6,699,635,1183,79,61,139,71,132,114,81,194,103,184
Milan,35,266,56.9,38,418,3.42,38.0,76,56,132,70,6,8,82,8,66.2,60.0,46.0,1060,898,1569,200,147,347,184,332,174,121,295,158,279
Monza,31,268,53.5,38,418,3.42,38.0,38,29,67,34,4,5,88,5,39.5,35.9,27.8,638,723,1248,100,76,176,89,166,104,73,177,95,168
Napoli,29,272,60.9,38,418,3.42,38.0,54,36,90,48,6,10,77,5,61.4,53.3,42.9,962,803,1758,142,95,237,126,221,162,113,274,140,253
Roma,30,277,54.9,38,418,3.42,38.0,64,44,108,53,11,12,95,3,51.4,42.3,34.4,767,682,1469,168,116,284,139,255,135,91,226,111,202
Salernitana,39,273,44.5,38,418,3.42,38.0,32,25,57,30,2,2,91,3,30.3,28.7,22.4,511,499,1119,84,66,150,79,145,80,59,139,76,134
Sassuolo,30,264,43.8,38,418,3.42,38.0,42,28,70,35,7,8,71,4,39.8,33.8,25.9,597,636,1301,111,74,184,92,166,105,68,173,89,157
Torino,30,264,51.6,38,418,3.42,38.0,35,29,64,33,2,2,75,2,37.7,36.1,30.1,662,710,1333,92,76,168,87,163,99,79,178,95,174
Udinese,32,257,39.3,38,418,3.42,38.0,36,23,59,33,3,4,94,5,39.1,36.8,28.0,649,601,1022,95,61,155,87,147,103,74,177,97,171
