Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,season,country
Ath Paranaense,3,32,6,0,5,0,46.4,0.26,14.4,0.38,2019,BR
Atlético Mineiro,3,49,7,1,9,1,45.9,0.22,-2.1,-0.06,2019,BR
Avaí,3,62,7,0,12,1,56.5,0.27,-4.5,-0.12,2019,BR
Bahia,2,43,4,0,6,0,45.8,0.27,2.8,0.07,2019,BR
Botafogo (RJ),2,45,3,1,5,2,55.7,0.28,12.7,0.33,2019,BR
Ceará,3,41,2,0,9,1,45.5,0.3,5.5,0.15,2019,BR
Chapecoense,2,52,6,2,8,1,61.1,0.28,10.1,0.27,2019,BR
Corinthians,3,34,5,0,6,1,41.6,0.25,8.6,0.23,2019,BR
Cruzeiro,2,46,4,0,3,0,50.1,0.3,4.1,0.11,2019,BR
CSA,2,58,2,3,7,3,57.5,0.25,2.5,0.07,2019,BR
Flamengo,3,37,6,1,3,1,46.1,0.27,10.1,0.26,2019,BR
Fluminense,4,46,4,2,6,0,49.7,0.27,3.7,0.1,2019,BR
Fortaleza,2,49,5,1,7,1,56.9,0.31,8.9,0.23,2019,BR
Goiás,3,64,3,0,9,1,70.1,0.32,7.1,0.19,2019,BR
Grêmio,3,39,9,3,4,3,40.0,0.2,4.0,0.11,2019,BR
Internacional,2,39,4,1,3,1,43.2,0.23,5.2,0.14,2019,BR
Palmeiras,3,32,7,1,2,1,38.0,0.22,7.0,0.18,2019,BR
Santos,2,33,2,1,3,1,37.1,0.26,5.1,0.13,2019,BR
São Paulo,2,30,4,2,4,1,33.7,0.21,4.7,0.12,2019,BR
Vasco da Gama,3,45,4,0,4,3,44.9,0.27,2.9,0.08,2019,BR
Arsenal,2,48,7,0,9,0,51.8,0.23,3.8,0.1,2019,EN
Aston Villa,4,67,5,1,9,1,51.6,0.25,-14.4,-0.38,2019,EN
Bournemouth,2,65,5,4,4,0,62.6,0.3,-2.4,-0.06,2019,EN
Brighton,1,54,2,0,7,2,50.2,0.29,-1.8,-0.05,2019,EN
Burnley,1,50,4,0,7,1,45.7,0.25,-3.3,-0.09,2019,EN
Chelsea,2,54,2,2,9,3,37.5,0.31,-13.5,-0.36,2019,EN
Crystal Palace,2,50,0,1,5,2,55.7,0.34,7.7,0.2,2019,EN
Everton,1,56,3,3,5,3,50.2,0.32,-2.8,-0.07,2019,EN
Leicester City,1,41,8,0,5,2,44.3,0.26,5.3,0.14,2019,EN
Liverpool,2,33,1,1,2,1,27.1,0.25,-4.9,-0.13,2019,EN
Manchester City,2,35,3,1,4,1,34.1,0.29,0.1,0.0,2019,EN
Manchester Utd,1,36,3,1,8,1,34.7,0.25,-0.3,-0.01,2019,EN
Newcastle Utd,1,58,2,3,8,2,63.0,0.32,7.0,0.18,2019,EN
