Squad,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,season,country
Ath Paranaense,504,337,224,210,70,206,549,37.5,343,284,91,193,346,850,608,14,2019,BR
Atlético Mineiro,556,362,278,210,68,233,620,37.6,387,385,137,248,344,900,787,8,2019,BR
Avaí,619,393,303,263,53,256,635,40.3,379,364,117,247,513,1132,827,14,2019,BR
Bahia,618,424,325,247,46,254,662,38.4,408,314,111,203,304,922,794,9,2019,BR
Botafogo (RJ),521,326,295,181,45,251,653,38.4,402,382,169,213,320,841,937,9,2019,BR
Ceará,601,402,283,259,59,256,733,34.9,477,367,123,244,367,968,758,6,2019,BR
Chapecoense,594,416,305,250,39,237,632,37.5,395,349,140,209,420,1014,844,2,2019,BR
Corinthians,548,357,266,228,54,221,657,33.6,436,330,110,220,324,872,794,6,2019,BR
Cruzeiro,558,346,265,235,58,265,659,40.2,394,354,138,216,372,930,665,12,2019,BR
CSA,581,382,341,204,36,276,714,38.7,438,333,151,182,386,967,864,4,2019,BR
Flamengo,651,424,267,313,71,293,678,43.2,385,304,92,212,323,974,556,13,2019,BR
Fluminense,560,372,286,206,68,248,617,40.2,369,333,124,209,371,931,549,14,2019,BR
Fortaleza,482,323,272,179,31,180,515,35.0,335,276,106,170,323,805,913,11,2019,BR
Goiás,586,397,304,231,51,286,803,35.6,517,384,141,243,388,974,866,9,2019,BR
Grêmio,618,389,310,238,70,262,645,40.6,383,298,111,187,370,988,659,10,2019,BR
Internacional,663,426,329,268,66,299,668,44.8,369,376,120,256,401,1064,705,8,2019,BR
Palmeiras,619,395,281,285,53,253,584,43.3,331,269,83,186,347,966,669,3,2019,BR
Santos,621,417,288,267,66,267,735,36.3,468,327,120,207,419,1040,662,9,2019,BR
São Paulo,635,405,287,283,65,255,574,44.4,319,344,115,229,314,949,692,5,2019,BR
Vasco da Gama,590,399,276,254,60,249,668,37.3,419,385,124,261,367,957,808,7,2019,BR
Arsenal,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,2019,EN
Aston Villa,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,2019,EN
Bournemouth,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16,2019,EN
Brighton,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,2019,EN
Burnley,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,2019,EN
Chelsea,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,2019,EN
Crystal Palace,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,2019,EN
Everton,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,2019,EN
Leicester City,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,2019,EN
Liverpool,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,2019,EN
Manchester City,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21,2019,EN
Manchester Utd,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14,2019,EN
Newcastle Utd,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19,2019,EN
Norwich City,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20,2019,EN
Sheffield Utd,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,2019,EN
Southampton,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21,2019,EN
Tottenham,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24,2019,EN
Watford,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4,2019,EN
West Ham,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16,2019,EN
Wolves,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23,2019,EN
Alavés,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7,2019,SP
Athletic Club,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7,2019,SP
Atlético Madrid,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18,2019,SP
Barcelona,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16,2019,SP
Betis,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8,2019,SP
Celta Vigo,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12,2019,SP
Eibar,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8,2019,SP
Espanyol,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17,2019,SP
Getafe,580,341,235,263,82,235,573,41.0,338,374,60,314,367,947,625,12,2019,SP
Granada,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10,2019,SP
Leganés,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7,2019,SP
Levante,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14,2019,SP
Mallorca,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9,2019,SP
Osasuna,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19,2019,SP
Real Madrid,586,355,252,253,81,226,595,38.0,369,367,77,290,381,967,590,13,2019,SP
Real Sociedad,551,321,254,224,73,252,573,44.0,321,346,79,267,320,871,694,12,2019,SP
Sevilla,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10,2019,SP
Valencia,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12,2019,SP
Valladolid,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13,2019,SP
Villarreal,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12,2019,SP
Augsburg,534,314,271,215,48,220,563,39.1,343,362,123,239,434,968,778,8,2019,GE
Bayern Munich,500,293,180,222,98,211,503,41.9,292,290,79,211,342,842,382,9,2019,GE
Dortmund,529,329,249,214,66,226,509,44.4,283,353,88,265,375,904,463,10,2019,GE
Düsseldorf,496,307,244,199,53,200,540,37.0,340,350,105,245,376,872,610,9,2019,GE
Eint Frankfurt,596,377,278,246,72,232,617,37.6,385,403,97,306,376,972,520,5,2019,GE
Freiburg,431,252,226,162,43,175,497,35.2,322,401,157,244,354,785,810,18,2019,GE
Gladbach,552,322,254,215,83,228,586,38.9,358,398,106,292,381,933,596,11,2019,GE
Hertha BSC,555,340,282,221,52,208,521,39.9,313,434,130,304,410,965,794,12,2019,GE
Hoffenheim,529,309,283,196,50,239,578,41.3,339,384,121,263,349,878,719,9,2019,GE
Köln,610,414,293,258,59,249,622,40.0,373,397,97,300,435,1045,681,5,2019,GE
Leverkusen,557,353,239,244,74,263,600,43.8,337,365,71,294,333,890,496,11,2019,GE
Mainz 05,576,331,280,233,63,225,542,41.5,317,403,110,293,363,939,724,13,2019,GE
Paderborn 07,632,400,354,221,57,301,722,41.7,421,435,111,324,364,996,747,9,2019,GE
RB Leipzig,616,361,280,251,85,258,624,41.3,366,397,86,311,364,980,610,16,2019,GE
Schalke 04,589,361,268,242,79,255,625,40.8,370,474,118,356,407,996,656,15,2019,GE
Union Berlin,550,322,265,220,65,213,565,37.7,352,396,124,272,421,971,775,8,2019,GE
Werder Bremen,550,345,285,199,66,216,573,37.7,357,369,123,246,423,973,775,11,2019,GE
Wolfsburg,598,363,277,247,74,241,589,40.9,348,378,87,291,377,975,649,9,2019,GE
Atalanta,627,351,252,278,97,263,643,40.9,380,396,111,285,418,1045,532,12,2019,IT
Bologna,575,338,270,238,67,226,619,36.5,393,390,125,265,412,987,667,13,2019,IT
Brescia,507,273,256,195,56,226,559,40.4,333,399,170,229,361,868,886,12,2019,IT
Cagliari,560,338,300,203,57,231,619,37.3,388,445,174,271,337,897,855,13,2019,IT
Fiorentina,571,333,300,205,66,213,628,33.9,415,346,98,248,347,918,719,9,2019,IT
Genoa,551,335,268,210,73,212,589,36.0,377,410,150,260,385,936,775,16,2019,IT
Hellas Verona,488,290,237,187,64,203,463,43.8,260,361,173,188,398,886,825,10,2019,IT
Inter,524,287,228,212,84,196,575,34.1,379,371,120,251,370,894,657,12,2019,IT
Juventus,539,318,225,219,95,224,582,38.5,358,374,120,254,370,909,590,14,2019,IT
Lazio,547,311,270,205,72,224,612,36.6,388,404,142,262,378,925,642,9,2019,IT
Lecce,525,293,288,192,45,234,628,37.3,394,395,150,245,383,908,793,30,2019,IT
Milan,581,345,270,237,74,234,620,37.7,386,353,106,247,419,1000,652,19,2019,IT
Napoli,487,295,223,183,81,206,540,38.1,334,322,86,236,330,817,464,11,2019,IT
Parma,615,348,329,228,58,282,708,39.8,426,423,177,246,394,1009,859,14,2019,IT
Roma,493,303,202,203,88,197,503,39.2,306,347,107,240,400,893,644,15,2019,IT
Sampdoria,584,354,267,224,93,230,605,38.0,375,397,116,281,396,980,778,5,2019,IT
Sassuolo,553,332,273,211,69,249,556,44.8,307,392,130,262,348,901,666,9,2019,IT
SPAL,554,327,299,197,58,222,571,38.9,349,390,170,220,394,948,748,15,2019,IT
Torino,572,314,266,236,70,212,549,38.6,337,433,160,273,495,1067,875,14,2019,IT
Udinese,597,340,329,214,54,253,593,42.7,340,434,153,281,375,972,789,13,2019,IT
Ath Paranaense,521,314,227,235,59,208,565,36.8,357,341,112,229,372,893,671,5,2020,BR
Atl Goianiense,492,298,243,189,60,214,518,41.3,304,370,118,252,425,917,773,16,2020,BR
Atlético Mineiro,548,331,194,266,88,220,535,41.1,315,356,82,274,430,978,472,6,2020,BR
Bahia,554,347,291,212,51,224,586,38.2,362,383,130,253,414,968,752,11,2020,BR
Botafogo (RJ),507,311,236,204,67,234,620,37.7,386,431,121,310,384,891,758,13,2020,BR
Ceará,590,368,262,266,62,227,665,34.1,438,387,105,282,439,1029,831,8,2020,BR
Corinthians,544,337,274,211,59,254,632,40.2,378,388,114,274,470,1014,728,5,2020,BR
Coritiba,581,347,310,216,55,250,628,39.8,378,378,139,239,411,992,799,5,2020,BR
Flamengo,621,380,240,282,99,229,635,36.1,406,364,106,258,442,1063,465,15,2020,BR
Fluminense,606,369,292,246,68,240,618,38.8,378,377,107,270,472,1078,693,8,2020,BR
Fortaleza,467,292,220,197,50,174,470,37.0,296,258,95,163,358,825,679,4,2020,BR
Goiás,596,344,326,213,57,272,619,43.9,347,438,149,289,452,1048,931,9,2020,BR
Grêmio,521,336,264,210,47,230,566,40.6,336,311,82,229,410,931,570,3,2020,BR
Internacional,574,329,251,252,71,249,661,37.7,412,416,110,306,446,1020,665,8,2020,BR
Palmeiras,572,345,259,242,71,249,672,37.1,423,380,113,267,439,1011,600,7,2020,BR
Red Bull Bragantino,618,388,300,251,67,291,744,39.1,453,382,84,298,535,1153,645,6,2020,BR
Santos,549,337,262,237,50,212,578,36.7,366,361,109,252,447,996,655,7,2020,BR
São Paulo,456,280,187,206,63,186,441,42.2,255,316,84,232,377,833,497,11,2020,BR
Sport Recife,521,307,265,212,44,216,658,32.8,442,372,138,234,486,1007,909,11,2020,BR
Vasco da Gama,541,337,285,199,57,231,584,39.6,353,406,149,257,432,973,764,10,2020,BR
Arsenal,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,2020,EN
Aston Villa,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,2020,EN
Brighton,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,2020,EN
Burnley,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,2020,EN
Chelsea,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,2020,EN
Crystal Palace,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,2020,EN
Everton,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,2020,EN
Fulham,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,2020,EN
Leeds United,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,2020,EN
Leicester City,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,2020,EN
Liverpool,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,2020,EN
