Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Ath Paranaense,3,32,0.8,150,116,82.7,18,10,10,15,39.5,2019,BR
Atlético Mineiro,3,49,1.3,174,125,75.9,13,9,16,7,18.4,2019,BR
Avaí,3,62,1.6,197,136,72.1,3,11,24,9,23.7,2019,BR
Bahia,2,43,1.1,159,115,75.5,12,13,13,14,36.8,2019,BR
Botafogo (RJ),2,45,1.2,195,152,78.5,13,4,21,10,26.3,2019,BR
Ceará,3,41,1.1,148,108,73.6,10,9,19,8,21.1,2019,BR
Chapecoense,2,52,1.4,189,134,75.7,7,11,20,8,21.1,2019,BR
Corinthians,3,34,0.9,145,110,80.0,14,14,10,17,44.7,2019,BR
Cruzeiro,2,46,1.2,152,104,72.4,7,15,16,13,34.2,2019,BR
CSA,2,58,1.5,217,160,74.2,8,8,22,10,26.3,2019,BR
Flamengo,3,37,1.0,143,105,78.3,28,6,4,14,36.8,2019,BR
Fluminense,4,46,1.2,177,131,76.3,12,10,16,11,28.9,2019,BR
Fortaleza,2,49,1.3,170,121,74.1,15,8,15,8,21.1,2019,BR
Goiás,3,64,1.7,208,143,70.7,15,7,16,10,26.3,2019,BR
Grêmio,3,39,1.0,157,121,80.9,19,8,11,14,36.8,2019,BR
Internacional,2,39,1.0,170,131,79.4,16,9,13,12,31.6,2019,BR
Palmeiras,3,32,0.8,140,108,82.1,21,11,6,15,39.5,2019,BR
Santos,2,33,0.9,135,102,77.0,22,8,8,17,44.7,2019,BR
São Paulo,2,30,0.8,144,115,81.9,17,12,9,15,39.5,2019,BR
Vasco da Gama,3,45,1.2,155,113,73.5,12,13,13,10,26.3,2019,BR
Arsenal,2,48,1.3,193,144,78.8,14,14,10,10,26.3,2019,EN
Aston Villa,4,67,1.8,182,115,65.9,9,8,21,7,18.4,2019,EN
Bournemouth,2,65,1.7,192,126,68.8,9,7,22,5,13.2,2019,EN
Brighton,1,54,1.4,168,116,69.0,9,14,15,9,23.7,2019,EN
Burnley,1,50,1.3,167,117,72.5,15,9,14,15,39.5,2019,EN
Chelsea,2,54,1.4,115,64,54.8,20,6,12,9,23.7,2019,EN
Crystal Palace,2,50,1.3,172,124,70.9,11,10,17,10,26.3,2019,EN
Everton,1,56,1.5,147,94,63.9,13,10,15,9,23.7,2019,EN
Leicester City,1,41,1.1,135,94,75.6,18,8,12,13,34.2,2019,EN
Liverpool,2,33,0.9,107,75,70.1,32,3,3,15,39.5,2019,EN
Manchester City,2,35,0.9,110,76,70.9,26,3,9,17,44.7,2019,EN
Manchester Utd,1,36,1.0,131,96,74.8,18,12,8,13,34.2,2019,EN
Newcastle Utd,1,58,1.5,195,139,71.3,11,11,16,11,28.9,2019,EN
Norwich City,3,75,2.0,210,135,66.2,5,6,27,5,13.2,2019,EN
Sheffield Utd,2,39,1.0,139,99,72.7,14,12,12,13,34.2,2019,EN
Southampton,2,60,1.6,168,108,66.1,15,7,16,9,23.7,2019,EN
Tottenham,2,47,1.2,181,134,76.8,16,11,11,8,21.1,2019,EN
Watford,1,64,1.7,178,116,68.5,8,10,20,9,23.7,2019,EN
West Ham,4,62,1.6,187,127,69.5,10,9,19,7,18.4,2019,EN
Wolves,1,40,1.0,129,88,69.8,15,14,9,13,34.2,2019,EN
Alavés,3,59,1.6,161,99,70.8,10,9,19,9,23.7,2019,SP
Athletic Club,2,38,1.0,128,92,74.2,13,12,13,12,31.6,2019,SP
Atlético Madrid,2,27,0.7,112,88,78.6,18,16,4,17,44.7,2019,SP
Barcelona,2,38,1.0,119,80,73.1,25,7,6,15,39.5,2019,SP
Betis,2,60,1.6,154,95,68.2,10,11,17,6,15.8,2019,SP
Celta Vigo,3,49,1.3,149,100,70.5,7,16,15,12,31.6,2019,SP
Eibar,2,56,1.5,138,81,62.3,11,9,18,11,28.9,2019,SP
Espanyol,2,58,1.5,163,106,68.1,5,10,23,6,15.8,2019,SP
Getafe,1,37,1.0,109,73,70.6,14,12,12,15,39.5,2019,SP
Granada,2,45,1.2,156,110,73.7,16,8,14,13,34.2,2019,SP
Leganés,2,51,1.3,138,87,67.4,8,12,18,9,23.7,2019,SP
Levante,2,53,1.4,215,161,76.7,14,7,17,6,15.8,2019,SP
Mallorca,3,65,1.7,190,125,73.7,9,6,23,5,13.2,2019,SP
Osasuna,3,54,1.4,143,89,65.7,13,13,12,11,28.9,2019,SP
Real Madrid,2,25,0.7,110,85,79.1,26,9,3,19,50.0,2019,SP
Real Sociedad,2,48,1.3,144,96,71.5,16,8,14,9,23.7,2019,SP
Sevilla,2,34,0.9,117,83,73.5,19,13,6,17,44.7,2019,SP
Valencia,2,53,1.4,190,136,75.8,14,11,13,8,21.1,2019,SP
Valladolid,3,43,1.1,139,95,74.1,9,15,14,12,31.6,2019,SP
Villarreal,2,49,1.3,164,116,75.0,18,6,14,12,31.6,2019,SP
Augsburg,2,63,1.8,155,94,59.4,9,9,16,7,20.6,2019,GE
Bayern Munich,2,32,0.9,113,81,74.3,26,4,4,15,44.1,2019,GE
Dortmund,2,41,1.2,102,64,62.7,21,6,7,15,44.1,2019,GE
Düsseldorf,2,67,2.0,177,112,63.8,6,12,16,4,11.8,2019,GE
Eint Frankfurt,3,60,1.8,174,116,67.2,13,6,15,5,14.7,2019,GE
Freiburg,3,47,1.4,191,144,77.0,13,9,12,7,20.6,2019,GE
Gladbach,1,40,1.2,158,117,75.3,20,5,9,7,20.6,2019,GE
Hertha BSC,3,59,1.7,173,116,69.9,11,8,15,9,26.5,2019,GE
Hoffenheim,2,53,1.6,167,114,71.9,15,7,12,8,23.5,2019,GE
Köln,1,69,2.0,156,87,58.3,10,6,18,6,17.6,2019,GE
Leverkusen,1,44,1.3,143,99,70.6,19,6,9,10,29.4,2019,GE
Mainz 05,2,65,1.9,181,115,65.7,11,4,19,5,14.7,2019,GE
Paderborn 07,2,74,2.2,185,112,62.2,4,8,22,5,14.7,2019,GE
RB Leipzig,2,37,1.1,121,84,71.1,18,12,4,10,29.4,2019,GE
Schalke 04,2,58,1.7,173,117,69.9,9,12,13,7,20.6,2019,GE
Union Berlin,2,58,1.7,167,109,67.1,12,5,17,8,23.5,2019,GE
Werder Bremen,2,69,2.0,174,108,60.9,8,7,19,4,11.8,2019,GE
Wolfsburg,2,46,1.4,142,97,71.1,13,10,11,8,23.5,2019,GE
Atalanta,3,48,1.3,139,94,69.8,23,9,6,10,26.3,2019,IT
Bologna,2,65,1.7,189,124,68.8,12,11,15,2,5.3,2019,IT
Brescia,3,79,2.1,236,159,70.3,6,7,25,6,15.8,2019,IT
Cagliari,3,56,1.5,195,141,74.9,11,12,15,7,18.4,2019,IT
Fiorentina,3,48,1.3,162,112,75.9,12,13,13,11,28.9,2019,IT
Genoa,2,73,1.9,201,130,67.2,10,9,19,7,18.4,2019,IT
Hellas Verona,2,51,1.3,174,124,75.9,12,13,13,10,26.3,2019,IT
Inter,2,36,1.0,118,82,72.0,24,10,4,14,36.8,2019,IT
Juventus,3,43,1.1,162,118,79.0,26,5,7,12,31.6,2019,IT
Lazio,1,42,1.1,154,112,77.3,24,6,8,11,28.9,2019,IT
Lecce,2,85,2.2,256,172,71.1,9,8,21,3,7.9,2019,IT
Milan,3,46,1.2,154,104,73.4,19,9,10,12,31.6,2019,IT
Napoli,2,50,1.3,138,88,68.8,18,8,12,7,18.4,2019,IT
Parma,2,57,1.5,212,152,76.4,14,7,17,6,15.8,2019,IT
Roma,3,51,1.3,158,106,73.4,21,7,10,7,18.4,2019,IT
Sampdoria,2,65,1.7,178,117,68.0,12,6,20,9,23.7,2019,IT
Sassuolo,3,63,1.7,184,124,70.1,14,9,15,7,18.4,2019,IT
SPAL,3,77,2.0,228,153,69.3,5,5,28,3,7.9,2019,IT
Torino,3,68,1.8,208,142,72.1,11,7,20,7,18.4,2019,IT
Udinese,1,51,1.3,194,141,77.8,12,9,17,14,36.8,2019,IT
Ath Paranaense,3,36,1.0,151,115,78.1,15,8,15,14,36.8,2020,BR
Atl Goianiense,2,45,1.2,154,108,74.7,12,14,12,9,23.7,2020,BR
Atlético Mineiro,3,45,1.2,139,94,69.1,20,8,10,14,36.8,2020,BR
Bahia,3,59,1.6,168,108,67.9,12,8,18,7,18.4,2020,BR
Botafogo (RJ),4,62,1.6,181,117,70.7,5,12,21,5,13.2,2020,BR
Ceará,2,51,1.3,176,125,76.7,14,10,14,11,28.9,2020,BR
Corinthians,2,45,1.2,174,130,76.4,13,12,13,14,36.8,2020,BR
Coritiba,2,54,1.4,177,123,73.4,7,10,21,9,23.7,2020,BR
Flamengo,4,48,1.3,146,100,69.2,21,8,9,9,23.7,2020,BR
Fluminense,2,42,1.1,132,91,72.0,18,10,10,11,28.9,2020,BR
Fortaleza,2,44,1.2,148,101,73.0,10,11,17,13,34.2,2020,BR
Goiás,2,63,1.7,203,141,71.4,9,10,19,10,26.3,2020,BR
Grêmio,3,40,1.0,135,95,77.8,14,17,7,11,28.9,2020,BR
