Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,season,country
Ath Paranaense,1037,27.29,766,93,56,67,38,17,84,2.21,55,8,6,10,5,0,2019,BR
Atlético Mineiro,1067,28.08,755,83,77,67,61,24,74,1.95,38,4,15,8,8,1,2019,BR
Avaí,799,21.03,525,75,78,41,65,15,29,0.76,15,3,2,2,6,1,2019,BR
Bahia,869,22.87,620,73,63,40,55,18,72,1.89,48,3,4,7,9,1,2019,BR
Botafogo (RJ),695,18.29,467,84,33,38,62,11,53,1.39,31,7,1,8,5,1,2019,BR
Ceará,884,23.26,622,75,63,54,58,12,61,1.61,41,10,1,4,5,0,2019,BR
Chapecoense,914,24.05,613,96,65,61,58,21,55,1.45,29,8,4,11,3,0,2019,BR
Corinthians,895,23.55,641,73,63,45,59,14,67,1.76,37,7,9,11,3,0,2019,BR
Cruzeiro,927,24.39,706,66,49,47,52,7,47,1.24,32,3,1,6,5,0,2019,BR
CSA,725,19.08,502,85,44,35,55,4,41,1.08,29,3,3,2,4,0,2019,BR
Flamengo,1063,27.97,780,86,79,52,51,15,147,3.87,112,7,8,15,3,2,2019,BR
Fluminense,1012,26.63,761,73,59,63,39,17,55,1.45,33,3,5,8,6,0,2019,BR
Fortaleza,766,20.16,553,58,55,37,58,5,89,2.34,61,6,4,8,10,0,2019,BR
Goiás,864,22.74,552,88,84,51,72,17,72,1.89,37,8,8,11,7,1,2019,BR
Grêmio,940,24.74,672,72,68,53,63,12,114,3.0,73,12,10,5,12,2,2019,BR
Internacional,950,25.0,678,80,67,65,49,11,64,1.68,37,8,4,13,1,1,2019,BR
Palmeiras,995,26.18,686,125,63,49,57,15,109,2.87,79,9,6,9,6,0,2019,BR
Santos,1011,26.61,724,70,68,68,59,22,95,2.5,58,4,9,13,8,3,2019,BR
São Paulo,929,24.45,660,95,62,48,51,13,66,1.74,43,5,8,5,5,0,2019,BR
Vasco da Gama,886,23.32,592,80,63,63,66,22,63,1.66,33,5,5,11,8,1,2019,BR
Arsenal,709,18.66,501,59,52,48,33,16,85,2.24,57,5,4,9,4,6,2019,EN
Aston Villa,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0,2019,EN
Bournemouth,669,17.61,472,69,34,39,47,8,63,1.66,36,6,7,8,6,0,2019,EN
Brighton,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0,2019,EN
Burnley,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1,2019,EN
Chelsea,1121,29.5,847,86,57,64,52,15,123,3.24,86,6,10,9,10,2,2019,EN
Crystal Palace,643,16.92,427,68,57,36,46,9,53,1.39,37,3,4,4,5,0,2019,EN
Everton,805,21.18,536,86,47,69,51,16,67,1.76,47,4,4,9,3,0,2019,EN
Leicester City,969,25.5,707,73,75,48,56,10,116,3.05,91,3,11,4,5,2,2019,EN
Liverpool,1044,27.47,800,77,60,54,36,17,148,3.89,108,11,10,9,8,2,2019,EN
Manchester City,1356,35.68,1040,72,101,75,53,15,173,4.55,123,6,16,14,12,2,2019,EN
Manchester Utd,978,25.74,766,50,62,36,56,8,112,2.95,86,4,7,2,12,1,2019,EN
Newcastle Utd,705,18.55,491,75,55,38,37,9,62,1.63,41,6,4,6,4,1,2019,EN
Norwich City,717,18.87,522,56,47,47,35,10,43,1.13,34,2,2,2,1,2,2019,EN
Sheffield Utd,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0,2019,EN
Southampton,843,22.18,560,74,70,53,60,26,77,2.03,41,3,15,8,7,3,2019,EN
Tottenham,779,20.5,589,43,54,37,38,18,94,2.47,62,3,13,10,4,2,2019,EN
Watford,725,19.08,498,69,45,42,56,15,58,1.53,34,6,3,4,8,3,2019,EN
West Ham,735,19.34,514,78,42,42,47,12,89,2.34,62,7,5,7,8,0,2019,EN
Wolves,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0,2019,EN
Alavés,537,14.13,333,88,28,36,46,6,58,1.53,31,8,4,6,8,1,2019,SP
Athletic Club,690,18.16,469,84,37,36,54,10,65,1.71,43,4,3,6,8,1,2019,SP
Atlético Madrid,790,20.79,546,88,43,51,48,14,86,2.26,56,5,11,5,8,1,2019,SP
Barcelona,903,23.76,678,38,82,33,60,12,150,3.95,114,6,10,5,12,3,2019,SP
Betis,837,22.03,611,62,77,37,39,11,75,1.97,52,4,6,7,6,0,2019,SP
Celta Vigo,659,17.34,477,52,41,37,44,8,67,1.76,43,3,8,5,8,0,2019,SP
Eibar,709,18.66,450,97,40,55,48,19,63,1.66,38,7,5,6,7,0,2019,SP
Espanyol,691,18.18,469,82,37,45,50,8,44,1.16,26,5,2,6,3,2,2019,SP
Getafe,691,18.18,464,83,36,35,63,10,70,1.84,43,7,7,6,6,1,2019,SP
Granada,670,17.63,434,89,32,38,58,19,86,2.26,52,9,5,8,8,4,2019,SP
Leganés,752,19.79,509,87,44,48,57,7,54,1.42,38,4,2,3,6,1,2019,SP
Levante,746,19.63,547,71,48,35,37,8,79,2.08,52,4,6,8,9,0,2019,SP
Mallorca,742,19.53,510,78,51,38,57,8,64,1.68,41,1,6,5,10,1,2019,SP
Osasuna,783,20.61,553,94,40,42,42,12,73,1.92,49,9,4,5,5,1,2019,SP
Real Madrid,1021,26.87,780,68,73,46,42,12,125,3.29,90,7,7,5,15,1,2019,SP
Real Sociedad,744,19.58,550,70,34,40,39,11,92,2.42,69,6,4,6,2,5,2019,SP
Sevilla,873,22.97,636,90,51,42,42,12,89,2.34,58,8,10,5,8,0,2019,SP
Valencia,612,16.11,445,53,39,22,43,10,80,2.11,56,5,8,2,9,0,2019,SP
Valladolid,647,17.03,453,47,46,31,58,12,53,1.39,34,2,4,6,7,0,2019,SP
Villarreal,864,22.74,642,66,60,44,37,15,108,2.84,71,5,10,10,11,1,2019,SP
Augsburg,599,17.62,391,71,42,34,49,12,68,2.0,43,4,7,4,8,2,2019,GE
Bayern Munich,1108,32.59,862,72,70,56,34,14,176,5.18,140,7,11,7,9,2,2019,GE
Dortmund,794,23.35,598,59,57,43,29,8,155,4.56,129,5,13,6,2,0,2019,GE
Düsseldorf,747,21.97,491,89,52,41,59,15,64,1.88,45,7,4,4,4,0,2019,GE
Eint Frankfurt,878,25.82,611,95,63,60,39,10,100,2.94,61,16,6,13,2,2,2019,GE
Freiburg,784,23.06,517,89,50,56,67,5,75,2.21,38,9,5,8,15,0,2019,GE
Gladbach,827,24.32,589,66,56,47,56,13,114,3.35,82,8,10,5,8,1,2019,GE
Hertha BSC,636,18.71,446,63,46,39,34,8,83,2.44,52,8,11,8,4,0,2019,GE
Hoffenheim,797,23.44,538,83,56,55,55,10,91,2.68,60,6,7,12,4,2,2019,GE
Köln,724,21.29,500,73,44,47,45,15,83,2.44,54,7,7,9,6,0,2019,GE
Leverkusen,853,25.09,614,91,59,53,25,11,108,3.18,80,8,9,4,5,2,2019,GE
Mainz 05,795,23.38,552,81,66,41,44,11,76,2.24,51,5,9,6,4,1,2019,GE
Paderborn 07,730,21.47,487,76,61,43,47,16,59,1.74,40,3,5,9,2,0,2019,GE
RB Leipzig,981,28.85,726,73,65,61,42,14,138,4.06,92,9,17,11,8,1,2019,GE
Schalke 04,639,18.79,431,69,44,42,37,16,58,1.71,43,5,4,1,5,0,2019,GE
Union Berlin,659,19.38,424,86,41,49,49,10,66,1.94,37,8,3,8,8,2,2019,GE
Werder Bremen,756,22.24,536,68,44,52,37,19,69,2.03,43,4,6,11,2,3,2019,GE
Wolfsburg,814,23.94,542,94,50,59,57,12,80,2.35,49,6,9,7,9,0,2019,GE
Atalanta,1242,32.68,938,91,67,75,51,20,170,4.47,120,8,10,16,12,4,2019,IT
Bologna,967,25.45,726,68,62,47,50,14,85,2.24,54,4,10,10,7,0,2019,IT
