Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,season,country
Ath Paranaense,83,1,1,642,476,55,776,346,337,2,8,0,1794,619,636,49.3,2019,BR
Atlético Mineiro,72,5,3,527,461,50,704,344,362,7,9,1,1729,618,573,51.9,2019,BR
Avaí,79,10,2,574,544,46,709,513,393,5,7,1,1986,574,749,43.4,2019,BR
Bahia,68,6,4,576,447,48,689,304,424,6,5,0,1860,732,676,52.0,2019,BR
Botafogo (RJ),95,3,2,474,563,38,583,320,326,2,4,2,1518,665,619,51.8,2019,BR
Ceará,86,2,1,529,468,66,791,367,402,4,2,1,1871,628,672,48.3,2019,BR
Chapecoense,77,5,1,586,568,25,748,420,416,2,10,1,1795,658,638,50.8,2019,BR
Corinthians,70,1,0,497,548,39,735,324,357,1,7,1,1667,697,685,50.4,2019,BR
Cruzeiro,88,6,5,543,504,51,801,372,346,4,7,0,1802,640,641,50.0,2019,BR
CSA,95,4,3,563,469,62,539,386,382,4,5,3,1601,596,605,49.6,2019,BR
Flamengo,90,3,2,592,492,38,710,323,424,5,8,1,1820,624,526,54.3,2019,BR
Fluminense,90,9,5,540,530,44,720,371,372,3,4,0,1871,541,526,50.7,2019,BR
Fortaleza,86,6,5,496,523,42,584,323,323,7,7,1,1639,569,567,50.1,2019,BR
Goiás,87,7,3,552,570,53,769,388,397,3,6,1,1766,553,652,45.9,2019,BR
Grêmio,81,2,1,482,477,47,655,370,389,8,9,3,1968,536,540,49.8,2019,BR
Internacional,94,3,0,533,468,71,772,401,426,1,5,1,2023,638,626,50.5,2019,BR
Palmeiras,73,4,1,609,600,66,674,347,395,4,8,1,1708,651,519,55.6,2019,BR
Santos,108,10,6,577,573,73,625,419,417,5,3,1,1929,589,572,50.7,2019,BR
São Paulo,85,6,2,633,550,59,628,314,405,2,4,1,1876,600,594,50.3,2019,BR
Vasco da Gama,103,4,2,618,586,46,694,367,399,9,4,3,1694,597,707,45.8,2019,BR
Arsenal,88,5,1,421,437,73,699,351,336,2,8,0,1861,501,589,46.0,2019,EN
Aston Villa,70,1,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7,2019,EN
Bournemouth,78,3,2,369,388,67,646,475,299,2,6,0,1979,792,835,48.7,2019,EN
Brighton,59,2,1,386,325,71,689,419,379,2,2,2,2065,690,577,54.5,2019,EN
Burnley,67,0,0,412,369,89,743,387,344,1,5,1,1860,937,917,50.5,2019,EN
Chelsea,60,0,0,386,384,63,862,459,362,6,2,3,2210,703,701,50.1,2019,EN
Crystal Palace,62,2,0,424,479,53,588,444,390,2,1,2,1915,771,776,49.8,2019,EN
Everton,76,3,3,472,394,58,804,408,408,0,4,3,1966,860,835,50.7,2019,EN
Leicester City,43,3,1,418,444,64,779,423,432,6,10,2,2104,659,674,49.4,2019,EN
Liverpool,38,1,0,331,293,53,896,352,325,4,1,1,2194,655,588,52.7,2019,EN
Manchester City,64,4,2,362,296,68,915,352,301,10,3,1,1959,515,498,50.8,2019,EN
Manchester Utd,73,0,0,423,427,56,635,379,333,12,3,1,2084,557,512,52.1,2019,EN
Newcastle Utd,66,3,0,370,423,75,591,391,357,0,2,2,1871,733,781,48.4,2019,EN
Norwich City,68,3,0,363,430,50,473,397,379,1,7,3,1989,518,673,43.5,2019,EN
Sheffield Utd,63,2,1,412,306,78,866,420,377,1,3,0,2041,946,886,51.6,2019,EN
Southampton,55,4,1,450,388,58,690,425,416,4,4,1,2150,810,878,48.0,2019,EN
Tottenham,84,3,1,423,424,66,641,381,415,4,7,2,2022,642,671,48.9,2019,EN
Watford,80,3,2,481,342,68,684,424,369,7,9,3,1996,823,802,50.6,2019,EN
West Ham,64,1,1,387,345,66,737,421,417,3,6,3,2052,855,801,51.6,2019,EN
Wolves,61,2,2,407,360,49,718,437,367,4,3,1,2113,775,711,52.2,2019,EN
Alavés,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,56.0,2019,SP
Athletic Club,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,57.2,2019,SP
Atlético Madrid,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,53.4,2019,SP
Barcelona,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,55.6,2019,SP
Betis,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,50.9,2019,SP
Celta Vigo,104,6,3,473,527,70,636,396,357,6,5,0,1905,650,659,49.7,2019,SP
Eibar,92,3,2,538,411,73,870,430,338,5,6,1,2039,974,1091,47.2,2019,SP
Espanyol,107,9,6,581,469,65,710,360,364,1,7,2,1927,755,814,48.1,2019,SP
Getafe,135,5,2,706,495,106,833,367,341,4,6,2,1947,914,1024,47.2,2019,SP
Granada,109,1,1,590,497,70,670,383,349,3,5,0,1764,748,849,46.8,2019,SP
Leganés,127,4,2,591,500,75,771,418,357,4,7,1,1821,778,865,47.4,2019,SP
Levante,79,5,4,468,460,81,697,331,288,5,7,2,1913,504,555,47.6,2019,SP
Mallorca,93,5,4,509,526,58,682,376,338,8,16,1,1867,634,729,46.5,2019,SP
Osasuna,110,6,3,551,410,80,755,417,361,2,5,0,2056,874,869,50.1,2019,SP
Real Madrid,82,4,3,487,474,84,776,381,355,11,2,0,2047,521,411,55.9,2019,SP
Real Sociedad,79,2,2,501,489,78,719,320,321,2,9,1,1892,815,710,53.4,2019,SP
Sevilla,97,1,1,522,480,92,880,346,344,4,4,1,2069,746,695,51.8,2019,SP
Valencia,80,8,3,416,543,100,677,360,311,6,9,1,1778,553,601,47.9,2019,SP
Valladolid,84,0,0,484,530,81,645,390,327,6,8,0,1964,618,764,44.7,2019,SP
Villarreal,78,1,0,483,422,71,619,339,323,10,9,2,1894,536,622,46.3,2019,SP
Augsburg,68,2,2,378,384,81,479,434,314,4,1,3,1765,545,612,47.1,2019,GE
Bayern Munich,54,3,2,322,355,78,850,342,293,6,4,1,2048,478,403,54.3,2019,GE
Dortmund,49,1,1,305,327,56,510,375,329,1,3,3,1914,361,358,50.2,2019,GE
Düsseldorf,78,0,0,407,430,56,705,376,307,3,5,4,1737,583,649,47.3,2019,GE
Eint Frankfurt,71,4,2,425,368,57,892,376,377,1,3,2,2047,699,665,51.2,2019,GE
Freiburg,43,2,1,329,437,56,649,354,252,5,4,0,1629,636,673,48.6,2019,GE
Gladbach,77,3,3,424,446,91,570,381,322,5,2,0,1880,546,554,49.6,2019,GE
Hertha BSC,78,4,2,465,350,57,527,410,340,3,7,2,1725,611,530,53.5,2019,GE
Hoffenheim,66,2,1,383,416,61,579,349,309,3,8,2,1666,564,541,51.0,2019,GE
Köln,79,4,1,487,436,75,708,435,414,3,6,2,1948,715,668,51.7,2019,GE
Leverkusen,61,6,3,394,369,92,713,333,353,2,2,0,2035,518,490,51.4,2019,GE
Mainz 05,75,3,2,462,401,70,615,363,331,3,5,1,1785,609,669,47.7,2019,GE
Paderborn 07,84,3,2,426,358,62,572,364,400,2,5,2,1797,462,564,45.0,2019,GE
RB Leipzig,53,3,3,373,370,78,628,364,361,3,2,0,2031,518,484,51.7,2019,GE
Schalke 04,64,2,1,400,380,81,472,407,361,1,6,2,1927,627,632,49.8,2019,GE
