Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,season,country
Ath Paranaense,19726,17739,1932,551,25,149,776,761,236,97,123,4,16069,55,263,2019,BR
Atlético Mineiro,18064,16116,1898,481,24,120,704,778,233,106,107,1,14436,50,298,2019,BR
Avaí,16439,14328,2065,590,35,96,709,831,183,91,68,1,12593,46,352,2019,BR
Bahia,16564,14714,1802,513,17,101,689,702,183,101,63,1,12818,48,257,2019,BR
Botafogo (RJ),17550,15616,1896,646,12,87,583,625,146,64,59,1,14223,38,263,2019,BR
Ceará,15897,13872,1959,511,16,116,791,773,263,110,117,2,12112,66,302,2019,BR
Chapecoense,14787,12674,2088,645,7,159,748,776,179,57,115,1,11300,25,274,2019,BR
Corinthians,18190,16088,2063,608,14,105,735,847,177,58,100,2,14639,39,263,2019,BR
Cruzeiro,18869,17028,1790,531,36,123,801,666,208,67,124,1,15242,51,274,2019,BR
CSA,13965,12170,1733,501,18,95,539,617,123,52,65,0,10769,62,205,2019,BR
Flamengo,20202,18257,1907,564,30,128,710,770,263,120,61,2,16698,38,338,2019,BR
Fluminense,21495,19652,1799,587,35,105,720,644,194,77,85,1,18213,44,291,2019,BR
Fortaleza,15606,13753,1811,586,22,147,584,623,145,45,68,2,12481,42,219,2019,BR
Goiás,13996,11975,1968,619,23,131,769,740,194,50,120,3,10506,53,242,2019,BR
Grêmio,21513,19724,1742,481,58,127,655,693,225,92,91,0,18106,47,292,2019,BR
Internacional,20116,18267,1778,494,31,177,772,733,214,102,85,1,16412,71,268,2019,BR
Palmeiras,16277,14357,1854,613,15,158,674,720,201,56,100,0,12959,66,272,2019,BR
Santos,18739,16763,1903,619,16,147,625,772,201,90,91,0,15131,73,302,2019,BR
São Paulo,19033,17075,1899,596,20,104,628,753,197,86,81,1,15520,59,297,2019,BR
Vasco da Gama,15252,13257,1949,618,13,90,694,741,192,77,105,1,11772,46,275,2019,BR
Arsenal,20410,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320,2019,EN
Aston Villa,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,2019,EN
Bournemouth,16387,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390,2019,EN
Brighton,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,2019,EN
Burnley,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,2019,EN
Chelsea,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,2019,EN
Crystal Palace,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,2019,EN
Everton,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,2019,EN
Leicester City,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,2019,EN
Liverpool,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,2019,EN
Manchester City,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,2019,EN
Manchester Utd,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,2019,EN
Newcastle Utd,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,2019,EN
Norwich City,18869,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373,2019,EN
Sheffield Utd,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,2019,EN
Southampton,17468,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331,2019,EN
Tottenham,20296,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344,2019,EN
Watford,15775,13907,1800,398,11,134,684,838,167,92,49,2,11230,68,285,2019,EN
West Ham,16861,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358,2019,EN
Wolves,18474,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323,2019,EN
Alavés,13973,11911,2001,543,17,108,562,881,136,52,53,0,9612,61,278,2019,SP
Athletic Club,16915,14889,1942,517,14,200,754,874,178,70,65,6,12533,84,306,2019,SP
