Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,season,country
Ath Paranaense,49,587,209,35.6,15.45,5.5,0.08,0.22,19.0,25,3,4,64.0,61.0,0.11,-15.0,-15.0,2019,BR
Atlético Mineiro,44,603,189,31.3,15.87,4.97,0.06,0.21,20.7,45,5,8,59.5,53.3,0.09,-15.5,-14.3,2019,BR
Avaí,17,458,106,23.1,12.05,2.79,0.03,0.12,22.0,29,4,5,34.8,30.9,0.07,-17.8,-17.9,2019,BR
Bahia,43,487,148,30.4,12.82,3.89,0.07,0.23,20.4,29,9,10,51.7,43.9,0.09,-8.7,-9.9,2019,BR
Botafogo (RJ),29,387,122,31.5,10.18,3.21,0.07,0.21,20.1,29,3,3,37.9,35.6,0.09,-8.9,-9.6,2019,BR
Ceará,35,493,160,32.5,12.97,4.21,0.06,0.2,19.8,35,3,6,48.7,43.9,0.09,-13.7,-11.9,2019,BR
Chapecoense,31,507,137,27.0,13.34,3.61,0.05,0.2,21.0,25,4,5,41.7,37.8,0.08,-10.7,-10.8,2019,BR
Corinthians,41,488,143,29.3,12.84,3.76,0.08,0.26,20.1,31,4,4,42.4,39.2,0.08,-1.4,-2.2,2019,BR
Cruzeiro,27,504,148,29.4,13.26,3.89,0.05,0.16,20.8,25,4,5,46.5,42.7,0.09,-19.5,-19.7,2019,BR
CSA,24,405,110,27.2,10.66,2.89,0.05,0.18,20.7,19,4,5,34.6,30.6,0.08,-10.6,-10.6,2019,BR
Flamengo,85,578,209,36.2,15.21,5.5,0.14,0.38,17.7,26,6,8,81.6,75.5,0.13,3.4,3.5,2019,BR
Fluminense,35,565,175,31.0,14.87,4.61,0.05,0.18,18.6,16,4,5,54.6,50.6,0.09,-19.6,-19.6,2019,BR
Fortaleza,48,413,139,33.7,10.87,3.66,0.1,0.29,20.6,23,8,9,50.0,43.0,0.11,-2.0,-3.0,2019,BR
Goiás,44,502,142,28.3,13.21,3.74,0.08,0.28,21.3,39,4,4,47.2,44.0,0.09,-3.2,-4.0,2019,BR
Grêmio,63,514,181,35.2,13.53,4.76,0.11,0.31,19.8,37,7,9,57.0,50.0,0.1,6.0,6.0,2019,BR
Internacional,43,545,175,32.1,14.34,4.61,0.08,0.24,19.4,33,1,3,53.0,50.8,0.1,-10.0,-8.8,2019,BR
Palmeiras,61,561,200,35.7,14.76,5.26,0.1,0.28,18.9,28,5,6,59.7,55.2,0.1,1.3,0.8,2019,BR
Santos,58,577,202,35.0,15.18,5.32,0.09,0.26,19.0,29,5,7,62.1,56.6,0.1,-4.1,-3.6,2019,BR
São Paulo,39,517,167,32.3,13.61,4.39,0.07,0.22,20.7,31,3,4,44.1,41.1,0.08,-5.1,-5.1,2019,BR
Vasco da Gama,37,501,147,29.3,13.18,3.87,0.06,0.2,19.2,33,8,12,56.7,47.6,0.1,-19.7,-18.6,2019,BR
Arsenal,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,19,3,3,47.0,44.6,0.11,9.0,8.4,2019,EN
Aston Villa,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,2019,EN
Bournemouth,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7,2019,EN
Brighton,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,11,1,2,45.4,43.8,0.1,-10.4,-9.8,2019,EN
Burnley,41,384,124,32.3,10.11,3.26,0.1,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3,2019,EN
Chelsea,69,618,210,34.0,16.26,5.53,0.1,0.3,16.6,29,7,7,69.2,64.4,0.11,-0.2,-2.4,2019,EN
Crystal Palace,29,373,115,30.8,9.82,3.03,0.07,0.23,17.0,15,3,3,35.8,33.6,0.09,-6.8,-7.6,2019,EN
Everton,42,468,159,34.0,12.32,4.18,0.09,0.26,16.4,20,1,1,50.8,50.0,0.11,-8.8,-9.0,2019,EN
Leicester City,65,533,183,34.3,14.03,4.82,0.11,0.33,17.4,20,5,7,62.2,56.7,0.11,2.8,3.3,2019,EN
Liverpool,83,586,224,38.2,15.42,5.89,0.13,0.35,16.5,20,5,5,68.9,65.0,0.11,14.1,13.0,2019,EN
Manchester City,100,735,250,34.0,19.34,6.58,0.13,0.38,16.4,27,6,11,92.0,83.6,0.12,8.0,10.4,2019,EN
Manchester Utd,65,530,201,37.9,13.95,5.29,0.1,0.27,19.1,33,10,14,62.2,51.2,0.1,2.8,3.8,2019,EN
Newcastle Utd,38,398,132,33.2,10.47,3.47,0.1,0.29,19.1,14,0,1,35.5,34.8,0.09,2.5,3.2,2019,EN
Norwich City,25,407,126,31.0,10.71,3.32,0.06,0.18,18.0,16,2,2,37.0,35.4,0.09,-12.0,-12.4,2019,EN
Sheffield Utd,36,352,109,31.0,9.26,2.87,0.1,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,2019,EN
Southampton,51,494,171,34.6,13.0,4.5,0.1,0.29,17.8,27,2,5,56.1,52.1,0.11,-5.1,-3.1,2019,EN
Tottenham,56,440,154,35.0,11.58,4.05,0.12,0.34,18.4,21,3,4,47.9,44.7,0.1,8.1,8.3,2019,EN
Watford,35,416,112,26.9,10.95,2.95,0.07,0.25,17.3,18,7,8,48.9,42.6,0.1,-13.9,-14.6,2019,EN
West Ham,49,413,156,37.8,10.87,4.11,0.11,0.29,16.4,13,4,4,48.6,45.4,0.11,0.4,-0.4,2019,EN
Wolves,49,457,142,31.1,12.03,3.74,0.1,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0,2019,EN
Alavés,34,307,98,31.9,8.08,2.58,0.09,0.29,16.7,11,6,6,39.3,34.7,0.12,-5.3,-6.7,2019,SP
Athletic Club,40,401,126,31.4,10.55,3.32,0.08,0.25,18.8,16,8,10,41.5,33.8,0.09,-1.5,-1.8,2019,SP
Atlético Madrid,50,440,136,30.9,11.58,3.58,0.1,0.32,17.3,14,6,8,56.8,50.6,0.12,-6.8,-6.6,2019,SP
Barcelona,84,488,213,43.6,12.84,5.61,0.16,0.37,17.4,46,6,6,66.3,61.7,0.13,17.7,16.3,2019,SP
Betis,48,471,152,32.3,12.39,4.0,0.09,0.28,18.4,20,6,8,51.0,45.2,0.1,-3.0,-3.2,2019,SP
Celta Vigo,37,359,131,36.5,9.45,3.45,0.09,0.24,18.8,23,6,9,39.2,32.4,0.09,-2.2,-1.4,2019,SP
Eibar,38,419,132,31.5,11.03,3.47,0.07,0.23,18.9,21,7,10,42.0,34.2,0.08,-4.0,-3.2,2019,SP
Espanyol,25,407,120,29.5,10.71,3.16,0.05,0.18,19.1,20,4,4,38.6,35.6,0.09,-13.6,-14.6,2019,SP
Getafe,42,408,121,29.7,10.74,3.18,0.09,0.3,18.6,31,6,7,41.6,36.1,0.09,0.4,-0.1,2019,SP
Granada,50,389,118,30.3,10.24,3.11,0.12,0.38,19.0,25,5,5,44.9,40.9,0.11,5.1,4.1,2019,SP
Leganés,30,427,143,33.5,11.24,3.76,0.06,0.19,19.2,29,3,5,39.9,35.9,0.09,-9.9,-8.9,2019,SP
Levante,45,422,133,31.5,11.11,3.5,0.09,0.3,19.0,21,5,5,48.1,44.2,0.11,-3.1,-4.2,2019,SP
Mallorca,39,410,118,28.8,10.79,3.11,0.08,0.26,19.2,22,8,10,41.1,33.3,0.08,-2.1,-2.3,2019,SP
Osasuna,46,455,142,31.2,11.97,3.74,0.08,0.27,18.7,22,8,8,49.4,43.2,0.1,-3.4,-5.2,2019,SP
Real Madrid,69,552,222,40.2,14.53,5.84,0.11,0.26,18.0,18,11,11,67.9,59.2,0.11,1.1,-1.2,2019,SP
Real Sociedad,54,424,139,32.8,11.16,3.66,0.12,0.36,17.7,12,4,5,48.9,45.1,0.11,5.1,4.9,2019,SP
Sevilla,53,484,164,33.9,12.74,4.32,0.1,0.28,16.7,17,7,7,53.2,47.9,0.1,-0.2,-1.9,2019,SP
Valencia,45,331,111,33.5,8.71,2.92,0.12,0.36,18.0,18,5,8,43.3,37.2,0.11,1.7,2.8,2019,SP
Valladolid,31,369,116,31.4,9.71,3.05,0.08,0.24,20.0,29,3,6,36.6,32.1,0.09,-5.6,-4.1,2019,SP
Villarreal,62,483,160,33.1,12.71,4.21,0.11,0.33,18.2,15,10,11,63.6,55.2,0.12,-1.6,-3.2,2019,SP
Augsburg,45,358,129,36.0,10.53,3.79,0.12,0.33,19.0,24,3,5,43.1,39.1,0.11,1.9,2.9,2019,GE
Bayern Munich,97,609,243,39.9,17.91,7.15,0.15,0.37,16.5,13,6,6,89.5,84.8,0.14,7.5,6.2,2019,GE
Dortmund,84,442,188,42.5,13.0,5.53,0.19,0.44,16.7,14,2,2,61.0,59.5,0.14,23.0,22.5,2019,GE
Düsseldorf,36,424,114,26.9,12.47,3.35,0.08,0.28,20.0,20,4,4,35.9,32.7,0.08,0.1,-0.7,2019,GE
Eint Frankfurt,57,500,170,34.0,14.71,5.0,0.11,0.32,16.7,16,2,2,59.5,58.0,0.12,-2.5,-3.0,2019,GE
Freiburg,46,442,138,31.2,13.0,4.06,0.09,0.3,17.7,27,5,6,46.7,42.0,0.1,-0.7,-1.0,2019,GE
Gladbach,64,475,187,39.4,13.97,5.5,0.13,0.32,17.0,26,4,6,72.0,67.2,0.15,-8.0,-7.2,2019,GE
Hertha BSC,45,357,119,33.3,10.5,3.5,0.12,0.35,17.7,12,3,3,43.1,40.7,0.12,1.9,1.3,2019,GE
Hoffenheim,52,447,154,34.5,13.15,4.53,0.11,0.32,17.1,24,3,4,56.1,53.0,0.12,-4.1,-4.0,2019,GE
Köln,50,413,147,35.6,12.15,4.32,0.12,0.33,16.8,20,2,4,48.9,46.3,0.12,1.1,1.7,2019,GE
