Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,season,country
Ath Paranaense,36,26.2,56.8,49,32,81,46,3,4,83,1,64.0,61.0,48.2,109.2,741,1772,2019,BR
Atlético Mineiro,32,28.1,49.8,44,26,70,39,5,8,72,5,59.5,53.3,41.2,94.5,720,1538,2019,BR
Avaí,42,26.7,46.3,17,9,26,13,4,5,79,10,34.8,30.9,23.3,54.1,624,1422,2019,BR
Bahia,31,27.0,46.9,43,24,67,34,9,10,68,6,51.7,43.9,35.4,79.3,775,1512,2019,BR
Botafogo (RJ),33,26.9,49.4,29,22,51,26,3,3,95,3,37.9,35.6,27.9,63.5,589,1187,2019,BR
Ceará,33,29.0,45.6,35,24,59,32,3,6,86,2,48.7,43.9,32.5,76.5,758,1545,2019,BR
Chapecoense,36,28.8,44.5,31,22,53,27,4,5,77,5,41.7,37.8,30.0,67.8,673,1175,2019,BR
Corinthians,33,28.0,51.3,41,26,67,37,4,4,70,1,42.4,39.2,30.5,69.7,676,1539,2019,BR
Cruzeiro,35,28.9,52.2,27,17,44,23,4,5,88,6,46.5,42.7,32.9,75.6,704,1840,2019,BR
CSA,40,28.7,40.4,24,15,39,20,4,5,95,4,34.6,30.6,25.0,55.6,527,1070,2019,BR
Flamengo,37,26.8,58.4,85,64,149,79,6,8,90,3,81.6,75.5,63.2,138.7,919,1992,2019,BR
Fluminense,39,25.1,57.1,35,20,55,31,4,5,90,9,54.6,50.6,40.8,91.4,937,1870,2019,BR
Fortaleza,32,28.1,45.4,48,33,81,40,8,9,86,6,50.0,43.0,33.6,76.6,661,1267,2019,BR
Goiás,39,26.4,42.2,44,25,69,40,4,4,87,7,47.2,44.0,31.4,75.4,681,1213,2019,BR
Grêmio,40,27.6,56.6,63,48,111,56,7,9,81,2,57.0,50.0,38.9,89.0,846,1759,2019,BR
Internacional,38,27.9,53.5,43,25,68,42,1,3,94,3,53.0,50.8,37.6,88.4,744,1608,2019,BR
Palmeiras,35,28.5,49.3,61,42,103,56,5,6,73,4,59.7,55.2,44.5,99.7,726,1550,2019,BR
Santos,30,26.5,56.2,58,39,97,53,5,7,108,10,62.1,56.6,43.4,100.1,880,1695,2019,BR
São Paulo,36,26.5,53.3,39,32,71,36,3,4,85,6,44.1,41.1,34.7,75.8,841,1494,2019,BR
Vasco da Gama,39,26.0,44.6,37,20,57,29,8,12,103,4,56.7,47.6,35.9,83.5,659,1317,2019,BR
Arsenal,29,25.8,53.8,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641,2019,EN
Aston Villa,28,25.7,44.1,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247,2019,EN
Bournemouth,27,25.2,44.1,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,2019,EN
Brighton,25,26.4,52.2,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675,2019,EN
Burnley,22,28.0,41.9,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890,2019,EN
Chelsea,27,25.5,60.4,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897,2019,EN
Crystal Palace,25,29.4,44.8,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223,2019,EN
Everton,24,25.5,49.0,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430,2019,EN
Leicester City,24,26.1,57.1,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612,2019,EN
Liverpool,24,26.6,62.9,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941,2019,EN
Manchester City,24,26.9,66.2,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,2019,EN
Manchester Utd,29,24.8,55.8,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,2019,EN
Newcastle Utd,28,26.5,39.0,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,2019,EN
